Symbol,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Spot,%Change,timestamp,Max_Pain
NIFTY,2026-01-27,23400.0,0.0,0,0,2.6,2214875,15909010,25184.25,0.106,2026-01-22 11:48:01,20360513
NIFTY,2026-01-27,23450.0,0.0,0,0,2.75,251680,2971670,25184.25,0.106,2026-01-22 11:48:01,19639426
NIFTY,2026-01-27,23500.0,1926.85,2015,130,2.85,7932860,37033490,25184.25,0.106,2026-01-22 11:48:01,18920104
NIFTY,2026-01-27,23550.0,1695.65,1105,0,3.05,457795,4714970,25184.25,0.106,2026-01-22 11:48:01,18238653
NIFTY,2026-01-27,23600.0,0.0,0,0,3.25,1146730,9256260,25184.25,0.106,2026-01-22 11:48:01,17561416
NIFTY,2026-01-27,23650.0,0.0,0,0,3.45,301405,3739190,25184.25,0.106,2026-01-22 11:48:01,16889493
NIFTY,2026-01-27,23700.0,1470.0,195,0,3.5,1506115,9164610,25184.25,0.106,2026-01-22 11:48:01,16219346
NIFTY,2026-01-27,23750.0,1571.9,45240,585,3.9,2255370,8268390,25184.25,0.106,2026-01-22 11:48:01,15556335
NIFTY,2026-01-27,23800.0,1483.25,25155,2145,4.05,2228785,14430455,25184.25,0.106,2026-01-22 11:48:01,14911558
NIFTY,2026-01-27,23850.0,1522.3,910,130,4.35,319410,4689490,25184.25,0.106,2026-01-22 11:48:01,14274648
NIFTY,2026-01-27,23900.0,1280.0,9230,0,4.6,951990,13213525,25184.25,0.106,2026-01-22 11:48:01,13636510
NIFTY,2026-01-27,23950.0,1407.55,1365,130,4.95,470535,7155980,25184.25,0.106,2026-01-22 11:48:01,13003922
NIFTY,2026-01-27,24000.0,1218.8,848705,87035,5.25,8349055,59101055,25184.25,0.106,2026-01-22 11:48:01,12372909
NIFTY,2026-01-27,24050.0,1312.4,260,0,5.7,333905,6483750,25184.25,0.106,2026-01-22 11:48:01,11886983
NIFTY,2026-01-27,24100.0,1180.65,3900,1300,6.1,1389180,22496695,25184.25,0.106,2026-01-22 11:48:01,11303515
NIFTY,2026-01-27,24150.0,1233.65,130,0,6.7,483535,11043175,25184.25,0.106,2026-01-22 11:48:01,10726781
NIFTY,2026-01-27,24200.0,1070.0,3640,1365,7.15,3303885,35976395,25184.25,0.106,2026-01-22 11:48:01,10152544
NIFTY,2026-01-27,24250.0,1042.75,2990,5525,7.95,1034020,17647890,25184.25,0.106,2026-01-22 11:48:01,9593180
NIFTY,2026-01-27,24300.0,1001.4,7280,4615,8.75,2686515,40751555,25184.25,0.106,2026-01-22 11:48:01,9040464
NIFTY,2026-01-27,24350.0,927.9,3900,130,9.75,712140,22184305,25184.25,0.106,2026-01-22 11:48:01,8500106
NIFTY,2026-01-27,24400.0,883.4,16900,14495,10.85,2637960,37452350,25184.25,0.106,2026-01-22 11:48:01,7964617
NIFTY,2026-01-27,24450.0,855.1,4420,6370,12.2,1113970,25303395,25184.25,0.106,2026-01-22 11:48:01,7441365
NIFTY,2026-01-27,24500.0,727.75,295490,276705,13.85,6946875,61456720,25184.25,0.106,2026-01-22 11:48:01,6924093
NIFTY,2026-01-27,24550.0,685.0,19240,5460,15.8,800670,18195905,25184.25,0.106,2026-01-22 11:48:01,6455898
NIFTY,2026-01-27,24600.0,640.25,41665,28015,18.1,3293420,38968995,25184.25,0.106,2026-01-22 11:48:01,5979971
NIFTY,2026-01-27,24650.0,593.0,35100,14170,21.2,1321970,19672900,25184.25,0.106,2026-01-22 11:48:01,5517374
NIFTY,2026-01-27,24700.0,531.8,149955,107965,24.65,4264260,38950665,25184.25,0.106,2026-01-22 11:48:01,5064135
NIFTY,2026-01-27,24750.0,487.45,49725,86580,29.1,1585935,21755045,25184.25,0.106,2026-01-22 11:48:01,4631151
NIFTY,2026-01-27,24800.0,445.1,266370,444600,34.65,4848935,52384670,25184.25,0.106,2026-01-22 11:48:01,4206691
NIFTY,2026-01-27,24850.0,402.7,65715,175955,41.3,1762540,24411790,25184.25,0.106,2026-01-22 11:48:01,3805053
NIFTY,2026-01-27,24900.0,361.1,193115,866645,49.15,5260060,52730535,25184.25,0.106,2026-01-22 11:48:01,3412869
NIFTY,2026-01-27,24950.0,320.15,117650,540800,58.8,2212665,31568550,25184.25,0.106,2026-01-22 11:48:01,3033704
NIFTY,2026-01-27,25000.0,283.35,2236910,7695870,70.35,10221705,100820655,25184.25,0.106,2026-01-22 11:48:01,2675826
NIFTY,2026-01-27,25050.0,245.75,674375,2129010,84.1,2479555,39407095,25184.25,0.106,2026-01-22 11:48:01,2380959
NIFTY,2026-01-27,25100.0,212.25,2397525,10786945,100.35,5729490,78898300,25184.25,0.106,2026-01-22 11:48:01,2106107
NIFTY,2026-01-27,25150.0,180.5,1663935,10187710,119.4,3350620,61511840,25184.25,0.106,2026-01-22 11:48:01,1869564
NIFTY,2026-01-27,25200.0,153.05,5034835,48797450,141.25,8515455,130592280,25184.25,0.106,2026-01-22 11:48:01,1654728
NIFTY,2026-01-27,25250.0,127.65,3409705,41693080,166.5,3564015,91316550,25184.25,0.106,2026-01-22 11:48:01,1474394
NIFTY,2026-01-27,25300.0,105.8,9361235,126533550,193.95,6084780,164173165,25184.25,0.106,2026-01-22 11:48:01,1356335
NIFTY,2026-01-27,25350.0,87.1,4816565,93295930,224.95,2653625,88408905,25184.25,0.106,2026-01-22 11:48:01,1312349
NIFTY,2026-01-27,25400.0,70.9,11054745,154153805,258.55,4206930,106213510,25184.25,0.106,2026-01-22 11:48:01,1306946
NIFTY,2026-01-27,25450.0,57.85,4904445,86056620,295.75,1205555,29405220,25184.25,0.106,2026-01-22 11:48:01,1365201
NIFTY,2026-01-27,25500.0,46.7,13605865,138763105,333.65,3734835,35709765,25184.25,0.106,2026-01-22 11:48:01,1477115
NIFTY,2026-01-27,25550.0,37.95,3579615,56507880,374.55,316615,5343000,25184.25,0.106,2026-01-22 11:48:01,1621941
NIFTY,2026-01-27,25600.0,30.65,8010080,77115415,417.8,1873430,7959185,25184.25,0.106,2026-01-22 11:48:01,1849048
