Symbol,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Spot,%Change,timestamp,Max_Pain
NIFTY,2026-02-03,23100.0,0.0,0,0,1.4,4638920,24125725,24898.85,0.296,2026-02-02 12:14:47,25383692
NIFTY,2026-02-03,23150.0,0.0,0,0,1.45,548275,5761665,24898.85,0.296,2026-02-02 12:14:47,24278265
NIFTY,2026-02-03,23200.0,0.0,0,0,1.6,1333020,11060140,24898.85,0.296,2026-02-02 12:14:47,23176149
NIFTY,2026-02-03,23250.0,1615.0,1235,2470,1.7,620815,8309470,24898.85,0.296,2026-02-02 12:14:47,22080564
NIFTY,2026-02-03,23300.0,1590.0,1170,455,1.8,13831545,37872315,24898.85,0.296,2026-02-02 12:14:47,20988397
NIFTY,2026-02-03,23350.0,1922.35,130,0,1.85,1196585,10399155,24898.85,0.296,2026-02-02 12:14:47,19962996
NIFTY,2026-02-03,23400.0,1320.8,975,1040,2.0,4021810,22835800,24898.85,0.296,2026-02-02 12:14:47,18945686
NIFTY,2026-02-03,23450.0,1612.0,65,0,2.1,1050140,11128780,24898.85,0.296,2026-02-02 12:14:47,17948011
NIFTY,2026-02-03,23500.0,1373.0,15080,4680,2.2,16097705,67930330,24898.85,0.296,2026-02-02 12:14:47,16956052
NIFTY,2026-02-03,23550.0,1720.05,130,0,2.25,1113710,13867230,24898.85,0.296,2026-02-02 12:14:47,16043396
NIFTY,2026-02-03,23600.0,1278.4,3120,130,2.45,4049305,30558190,24898.85,0.296,2026-02-02 12:14:47,15137552
NIFTY,2026-02-03,23650.0,1141.45,3315,195,2.55,1289795,22393930,24898.85,0.296,2026-02-02 12:14:47,14251605
NIFTY,2026-02-03,23700.0,1158.0,4225,1885,2.75,3823105,43102865,24898.85,0.296,2026-02-02 12:14:47,13372766
NIFTY,2026-02-03,23750.0,1121.4,2795,7670,2.95,2054910,32013475,24898.85,0.296,2026-02-02 12:14:47,12512453
NIFTY,2026-02-03,23800.0,1084.55,4550,5785,3.1,5294900,57499195,24898.85,0.296,2026-02-02 12:14:47,11662697
NIFTY,2026-02-03,23850.0,1045.9,3055,1495,3.4,2766010,39929240,24898.85,0.296,2026-02-02 12:14:47,10838583
NIFTY,2026-02-03,23900.0,997.25,2210,3380,3.65,4057495,59268040,24898.85,0.296,2026-02-02 12:14:47,10028842
NIFTY,2026-02-03,23950.0,921.05,2015,2600,4.0,2715895,42872895,24898.85,0.296,2026-02-02 12:14:47,9238760
NIFTY,2026-02-03,24000.0,894.7,217360,640900,4.25,14174745,150590830,24898.85,0.296,2026-02-02 12:14:47,8462627
NIFTY,2026-02-03,24050.0,845.2,1820,5395,4.7,1661725,45768645,24898.85,0.296,2026-02-02 12:14:47,7772778
NIFTY,2026-02-03,24100.0,800.85,10270,16900,5.1,5318885,66305850,24898.85,0.296,2026-02-02 12:14:47,7077197
NIFTY,2026-02-03,24150.0,727.25,11895,15340,5.95,2153970,42050060,24898.85,0.296,2026-02-02 12:14:47,6406998
NIFTY,2026-02-03,24200.0,699.0,21840,102440,6.75,6712225,93277210,24898.85,0.296,2026-02-02 12:14:47,5749103
NIFTY,2026-02-03,24250.0,650.4,9880,43875,7.85,2997735,54070120,24898.85,0.296,2026-02-02 12:14:47,5122290
NIFTY,2026-02-03,24300.0,603.35,66885,538980,9.4,7922720,105530230,24898.85,0.296,2026-02-02 12:14:47,4511809
