Symbol,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Spot,%Change,timestamp,Max_Pain
NIFTY,2026-02-03,23100.0,2664.25,130,4030,0.4,2987465,20886970,25798.75,2.831,2026-02-03 12:28:21,55681069
NIFTY,2026-02-03,23150.0,0.0,0,0,0.55,227500,3455140,25798.75,2.831,2026-02-03 12:28:21,54200605
NIFTY,2026-02-03,23200.0,2631.1,130,390,0.65,1916330,10318880,25798.75,2.831,2026-02-03 12:28:21,52721351
NIFTY,2026-02-03,23250.0,2537.8,910,455,0.6,247390,3003325,25798.75,2.831,2026-02-03 12:28:21,51251601
NIFTY,2026-02-03,23300.0,2560.1,2080,1235,0.65,4071080,22605050,25798.75,2.831,2026-02-03 12:28:21,49783399
NIFTY,2026-02-03,23350.0,2324.15,195,130,0.65,472355,3929445,25798.75,2.831,2026-02-03 12:28:21,48335615
NIFTY,2026-02-03,23400.0,2385.1,910,1430,0.65,2913300,12644840,25798.75,2.831,2026-02-03 12:28:21,46889940
NIFTY,2026-02-03,23450.0,1612.0,65,0,0.7,335725,4055415,25798.75,2.831,2026-02-03 12:28:21,45458850
NIFTY,2026-02-03,23500.0,2168.25,12740,2535,0.65,5789940,41509585,25798.75,2.831,2026-02-03 12:28:21,44029397
NIFTY,2026-02-03,23550.0,2236.15,195,585,0.7,488865,6500260,25798.75,2.831,2026-02-03 12:28:21,42631357
NIFTY,2026-02-03,23600.0,1338.0,2860,0,0.75,1288560,12881960,25798.75,2.831,2026-02-03 12:28:21,41233386
NIFTY,2026-02-03,23650.0,1141.45,3120,0,0.8,366990,6458595,25798.75,2.831,2026-02-03 12:28:21,39842148
NIFTY,2026-02-03,23700.0,2139.95,5330,1820,0.95,2628535,15307175,25798.75,2.831,2026-02-03 12:28:21,38452802
NIFTY,2026-02-03,23750.0,2042.0,2925,3120,0.9,579215,6952205,25798.75,2.831,2026-02-03 12:28:21,37077189
NIFTY,2026-02-03,23800.0,2052.9,3185,4940,0.9,1971710,20141680,25798.75,2.831,2026-02-03 12:28:21,35704142
NIFTY,2026-02-03,23850.0,1987.75,2860,975,0.9,668460,7825545,25798.75,2.831,2026-02-03 12:28:21,34340899
NIFTY,2026-02-03,23900.0,1930.2,1495,2405,1.0,1585740,17988815,25798.75,2.831,2026-02-03 12:28:21,32981046
NIFTY,2026-02-03,23950.0,1888.1,2145,2275,1.0,571025,8702525,25798.75,2.831,2026-02-03 12:28:21,31628750
NIFTY,2026-02-03,24000.0,1830.0,97630,97175,0.95,10594350,69381845,25798.75,2.831,2026-02-03 12:28:21,30279538
NIFTY,2026-02-03,24050.0,1776.6,4355,4615,1.05,1059305,11414975,25798.75,2.831,2026-02-03 12:28:21,29000298
NIFTY,2026-02-03,24100.0,1718.25,6760,5070,1.05,2972320,24981645,25798.75,2.831,2026-02-03 12:28:21,27710179
NIFTY,2026-02-03,24150.0,1645.35,12350,5330,1.2,809445,9282650,25798.75,2.831,2026-02-03 12:28:21,26435142
NIFTY,2026-02-03,24200.0,1619.2,10270,11375,1.2,2838355,33489430,25798.75,2.831,2026-02-03 12:28:21,25165299
