Symbol,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Spot,%Change,timestamp,Max_Pain
NIFTY,2026-02-03,23300.0,2047.7,260,260,2.05,9364355,16541915,25336.05,0.061,2026-02-01 11:41:46,19580094
NIFTY,2026-02-03,23350.0,2063.2,65,260,2.15,688610,3529305,25336.05,0.061,2026-02-01 11:41:46,18823622
NIFTY,2026-02-03,23400.0,2050.55,650,975,2.25,2809300,6963190,25336.05,0.061,2026-02-01 11:41:46,18072326
NIFTY,2026-02-03,23450.0,1882.2,130,0,2.45,457275,2055950,25336.05,0.061,2026-02-01 11:41:46,17334716
NIFTY,2026-02-03,23500.0,1882.6,14430,5135,2.65,8241480,19840145,25336.05,0.061,2026-02-01 11:41:46,16599804
NIFTY,2026-02-03,23550.0,1720.05,130,0,2.8,416325,1904890,25336.05,0.061,2026-02-01 11:41:46,15906791
NIFTY,2026-02-03,23600.0,1797.0,2860,390,2.85,1443975,6054815,25336.05,0.061,2026-02-01 11:41:46,15215234
NIFTY,2026-02-03,23650.0,1725.55,3315,65,3.1,621790,2782845,25336.05,0.061,2026-02-01 11:41:46,14531108
NIFTY,2026-02-03,23700.0,1656.0,4290,325,3.3,2111005,8058050,25336.05,0.061,2026-02-01 11:41:46,13850384
NIFTY,2026-02-03,23750.0,1527.5,8580,0,3.5,880230,3580395,25336.05,0.061,2026-02-01 11:41:46,13179871
NIFTY,2026-02-03,23800.0,1573.15,975,195,3.65,2602015,7880535,25336.05,0.061,2026-02-01 11:41:46,12514791
NIFTY,2026-02-03,23850.0,1542.8,715,1040,3.85,627705,3191370,25336.05,0.061,2026-02-01 11:41:46,11860927
NIFTY,2026-02-03,23900.0,1513.6,1495,1170,4.25,1317745,6544655,25336.05,0.061,2026-02-01 11:41:46,11210870
NIFTY,2026-02-03,23950.0,1503.5,1040,1105,4.6,725075,3834415,25336.05,0.061,2026-02-01 11:41:46,10567207
NIFTY,2026-02-03,24000.0,1374.9,230490,88530,5.0,9605115,26821730,25336.05,0.061,2026-02-01 11:41:46,9927331
NIFTY,2026-02-03,24050.0,1403.05,845,325,5.5,976820,4419610,25336.05,0.061,2026-02-01 11:41:46,9363698
NIFTY,2026-02-03,24100.0,1353.05,8580,2535,5.9,1643460,8464560,25336.05,0.061,2026-02-01 11:41:46,8777646
NIFTY,2026-02-03,24150.0,1114.0,1170,0,6.55,956605,5071300,25336.05,0.061,2026-02-01 11:41:46,8200465
NIFTY,2026-02-03,24200.0,1227.25,4355,2470,7.25,4233515,17211740,25336.05,0.061,2026-02-01 11:41:46,7627386
NIFTY,2026-02-03,24250.0,1144.3,2600,1430,8.05,1143805,7516340,25336.05,0.061,2026-02-01 11:41:46,7073457
NIFTY,2026-02-03,24300.0,1126.6,12740,5720,9.0,4635020,16178955,25336.05,0.061,2026-02-01 11:41:46,6527172
NIFTY,2026-02-03,24350.0,1020.2,4810,3575,10.4,1344980,9716070,25336.05,0.061,2026-02-01 11:41:46,6002012
NIFTY,2026-02-03,24400.0,978.0,27105,7085,11.85,3264755,13933530,25336.05,0.061,2026-02-01 11:41:46,5485430
NIFTY,2026-02-03,24450.0,955.25,24830,1820,13.55,1075685,9528740,25336.05,0.061,2026-02-01 11:41:46,4984997
NIFTY,2026-02-03,24500.0,867.2,264615,558155,15.75,6552390,34618155,25336.05,0.061,2026-02-01 11:41:46,4492199
NIFTY,2026-02-03,24550.0,861.0,27300,6565,18.2,1538615,13956085,25336.05,0.061,2026-02-01 11:41:46,4045199
NIFTY,2026-02-03,24600.0,771.55,77155,21450,21.0,3853005,23413000,25336.05,0.061,2026-02-01 11:41:46,3592952
NIFTY,2026-02-03,24650.0,746.5,27300,5330,24.5,1111110,11597300,25336.05,0.061,2026-02-01 11:41:46,3158666
NIFTY,2026-02-03,24700.0,682.6,69485,41340,28.85,3651180,27129115,25336.05,0.061,2026-02-01 11:41:46,2731527
NIFTY,2026-02-03,24750.0,648.65,27430,8320,33.85,1868620,14396980,25336.05,0.061,2026-02-01 11:41:46,2317885
