Symbol,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Spot,%Change,timestamp,Max_Pain
NIFTY,2026-02-03,23300.0,1802.0,130,0,6.75,4880590,8684195,25323.85,0.59,2026-01-28 11:14:11,10791631
NIFTY,2026-02-03,23350.0,1887.25,65,0,7.1,248365,1577030,25323.85,0.59,2026-01-28 11:14:11,10355242
NIFTY,2026-02-03,23400.0,1702.0,455,0,7.5,2183285,3369340,25323.85,0.59,2026-01-28 11:14:11,9923202
NIFTY,2026-02-03,23450.0,1865.0,195,65,7.95,233610,1491880,25323.85,0.59,2026-01-28 11:14:11,9500684
NIFTY,2026-02-03,23500.0,1760.1,12415,6370,8.45,4666675,9434880,25323.85,0.59,2026-01-28 11:14:11,9080746
NIFTY,2026-02-03,23550.0,1684.25,195,0,8.85,298870,1534325,25323.85,0.59,2026-01-28 11:14:11,8682595
NIFTY,2026-02-03,23600.0,1540.0,520,0,9.5,951925,3604315,25323.85,0.59,2026-01-28 11:14:11,8287465
NIFTY,2026-02-03,23650.0,1654.45,260,0,10.0,259740,1437410,25323.85,0.59,2026-01-28 11:14:11,7896506
NIFTY,2026-02-03,23700.0,1622.4,1105,0,10.65,1336075,4514965,25323.85,0.59,2026-01-28 11:14:11,7507453
NIFTY,2026-02-03,23750.0,1559.55,8580,0,11.35,354965,2100865,25323.85,0.59,2026-01-28 11:14:11,7124060
NIFTY,2026-02-03,23800.0,1499.0,1105,0,11.95,1812590,5631145,25323.85,0.59,2026-01-28 11:14:11,6744663
NIFTY,2026-02-03,23850.0,1213.75,520,0,12.75,331045,1577290,25323.85,0.59,2026-01-28 11:14:11,6371400
NIFTY,2026-02-03,23900.0,1220.0,650,0,13.7,1008280,4238845,25323.85,0.59,2026-01-28 11:14:11,6001435
NIFTY,2026-02-03,23950.0,1304.05,715,0,14.7,467350,2143050,25323.85,0.59,2026-01-28 11:14:11,5635572
NIFTY,2026-02-03,24000.0,1364.6,174785,77935,15.75,4212390,10651355,25323.85,0.59,2026-01-28 11:14:11,5272758
NIFTY,2026-02-03,24050.0,1264.75,650,0,16.85,599755,3009825,25323.85,0.59,2026-01-28 11:14:11,4949690
NIFTY,2026-02-03,24100.0,1185.35,2405,390,18.0,1153880,5144490,25323.85,0.59,2026-01-28 11:14:11,4611478
NIFTY,2026-02-03,24150.0,1202.9,325,65,19.45,437255,3810755,25323.85,0.59,2026-01-28 11:14:11,4278185
NIFTY,2026-02-03,24200.0,1165.95,1625,1430,21.05,3080220,9265685,25323.85,0.59,2026-01-28 11:14:11,3948060
