Symbol,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Spot,%Change,timestamp,Max_Pain
NIFTY,2026-01-27,23400.0,0.0,0,0,2.7,2266485,13803660,25283.55,0.501,2026-01-22 10:49:16,21752440
NIFTY,2026-01-27,23450.0,0.0,0,0,2.85,157495,2215005,25283.55,0.501,2026-01-22 10:49:16,20988409
NIFTY,2026-01-27,23500.0,1926.85,2015,130,2.85,7965555,32205550,25283.55,0.501,2026-01-22 10:49:16,20225732
NIFTY,2026-01-27,23550.0,1695.65,1105,0,2.95,427570,3718130,25283.55,0.501,2026-01-22 10:49:16,19501056
NIFTY,2026-01-27,23600.0,0.0,0,0,3.1,1199705,7921225,25283.55,0.501,2026-01-22 10:49:16,18780466
NIFTY,2026-01-27,23650.0,0.0,0,0,3.3,289835,3203720,25283.55,0.501,2026-01-22 10:49:16,18065442
NIFTY,2026-01-27,23700.0,1470.0,195,0,3.35,1559285,8132670,25283.55,0.501,2026-01-22 10:49:16,17352143
NIFTY,2026-01-27,23750.0,1571.9,45240,585,3.55,2298205,7552935,25283.55,0.501,2026-01-22 10:49:16,16646244
NIFTY,2026-01-27,23800.0,1522.0,25415,1300,3.6,2336750,12522770,25283.55,0.501,2026-01-22 10:49:16,15958851
NIFTY,2026-01-27,23850.0,1522.3,910,130,4.0,304135,4056845,25283.55,0.501,2026-01-22 10:49:16,15280000
NIFTY,2026-01-27,23900.0,1280.0,9230,0,4.1,1190280,11720020,25283.55,0.501,2026-01-22 10:49:16,14599665
NIFTY,2026-01-27,23950.0,1407.55,1365,130,4.5,590980,6053840,25283.55,0.501,2026-01-22 10:49:16,13926003
NIFTY,2026-01-27,24000.0,1307.95,857025,64090,4.65,8492185,50691290,25283.55,0.501,2026-01-22 10:49:16,13254536
NIFTY,2026-01-27,24050.0,1312.4,260,0,4.9,359710,4655560,25283.55,0.501,2026-01-22 10:49:16,12738035
NIFTY,2026-01-27,24100.0,1190.0,3965,1170,5.1,1468220,18689450,25283.55,0.501,2026-01-22 10:49:16,12115046
NIFTY,2026-01-27,24150.0,1233.65,130,0,5.5,522535,8866195,25283.55,0.501,2026-01-22 10:49:16,11499282
NIFTY,2026-01-27,24200.0,1130.95,3575,910,5.75,3406780,30343170,25283.55,0.501,2026-01-22 10:49:16,10886138
NIFTY,2026-01-27,24250.0,1092.65,3120,5395,6.4,1369030,14640015,25283.55,0.501,2026-01-22 10:49:16,10288762
NIFTY,2026-01-27,24300.0,1027.4,7215,4225,6.8,2610270,34814780,25283.55,0.501,2026-01-22 10:49:16,9699267
NIFTY,2026-01-27,24350.0,848.4,3900,0,7.4,690560,18675735,25283.55,0.501,2026-01-22 10:49:16,9122360
NIFTY,2026-01-27,24400.0,920.3,16640,13520,8.05,2916485,32095765,25283.55,0.501,2026-01-22 10:49:16,8549779
NIFTY,2026-01-27,24450.0,871.7,3900,6175,9.0,1279850,21574995,25283.55,0.501,2026-01-22 10:49:16,7991227
NIFTY,2026-01-27,24500.0,824.4,331565,185835,9.95,6846450,52630955,25283.55,0.501,2026-01-22 10:49:16,7439099
NIFTY,2026-01-27,24550.0,766.75,18915,4940,11.0,822900,15032875,25283.55,0.501,2026-01-22 10:49:16,6944195
NIFTY,2026-01-27,24600.0,724.85,44135,20865,12.4,3148990,32067620,25283.55,0.501,2026-01-22 10:49:16,6433523
NIFTY,2026-01-27,24650.0,673.8,36595,10595,14.05,1323270,15797925,25283.55,0.501,2026-01-22 10:49:16,5937566
NIFTY,2026-01-27,24700.0,624.5,155740,77545,15.85,4733365,30122755,25283.55,0.501,2026-01-22 10:49:16,5449720
NIFTY,2026-01-27,24750.0,580.7,44005,61230,18.5,1581905,16171155,25283.55,0.501,2026-01-22 10:49:16,4987937
NIFTY,2026-01-27,24800.0,535.15,267930,267540,21.5,5075070,37433630,25283.55,0.501,2026-01-22 10:49:16,4531689
NIFTY,2026-01-27,24850.0,487.75,54925,114920,25.15,1918475,17201470,25283.55,0.501,2026-01-22 10:49:16,4105953
NIFTY,2026-01-27,24900.0,444.7,198055,576290,29.8,4683705,35202635,25283.55,0.501,2026-01-22 10:49:16,3684512
NIFTY,2026-01-27,24950.0,400.65,119210,354900,35.55,2074670,19551415,25283.55,0.501,2026-01-22 10:49:16,3284476
NIFTY,2026-01-27,25000.0,355.9,2074020,5140850,42.4,10872290,62771215,25283.55,0.501,2026-01-22 10:49:16,2897959
NIFTY,2026-01-27,25050.0,314.6,663000,1286025,50.5,2475720,23422360,25283.55,0.501,2026-01-22 10:49:16,2606490
