Symbol,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Spot,%Change,timestamp,Max_Pain
NIFTY,2026-01-27,23300.0,0.0,0,0,0.15,484055,4579445,25045.8,-0.011,2026-01-27 13:53:12,36189661
NIFTY,2026-01-27,23350.0,0.0,0,0,0.3,130130,2090985,25045.8,-0.011,2026-01-27 13:53:12,34929179
NIFTY,2026-01-27,23400.0,0.0,0,0,0.15,1607710,12202515,25045.8,-0.011,2026-01-27 13:53:12,33669351
NIFTY,2026-01-27,23450.0,0.0,0,0,0.25,289185,2807415,25045.8,-0.011,2026-01-27 13:53:12,32417542
NIFTY,2026-01-27,23500.0,1588.0,3575,23660,0.2,3930810,22260875,25045.8,-0.011,2026-01-27 13:53:12,31167195
NIFTY,2026-01-27,23550.0,1547.7,845,0,0.25,262990,1574430,25045.8,-0.011,2026-01-27 13:53:12,29937017
NIFTY,2026-01-27,23600.0,0.0,0,0,0.2,841815,5790785,25045.8,-0.011,2026-01-27 13:53:12,28707793
NIFTY,2026-01-27,23650.0,1356.25,65,260,0.3,247845,2755675,25045.8,-0.011,2026-01-27 13:53:12,27482637
NIFTY,2026-01-27,23700.0,1295.0,585,455,0.25,819910,9606610,25045.8,-0.011,2026-01-27 13:53:12,26258739
NIFTY,2026-01-27,23750.0,1356.0,18590,22620,0.25,1728675,9639175,25045.8,-0.011,2026-01-27 13:53:12,25038997
NIFTY,2026-01-27,23800.0,1299.7,11960,6305,0.2,2800005,19212180,25045.8,-0.011,2026-01-27 13:53:12,23830414
NIFTY,2026-01-27,23850.0,1290.6,390,1040,0.25,1063205,8779940,25045.8,-0.011,2026-01-27 13:53:12,22634911
NIFTY,2026-01-27,23900.0,1150.7,14040,12285,0.35,1967550,16036670,25045.8,-0.011,2026-01-27 13:53:12,21443252
NIFTY,2026-01-27,23950.0,1082.3,1235,325,0.3,796445,6417775,25045.8,-0.011,2026-01-27 13:53:12,20263024
NIFTY,2026-01-27,24000.0,1061.4,426465,437840,0.4,13394875,97938620,25045.8,-0.011,2026-01-27 13:53:12,19085347
NIFTY,2026-01-27,24050.0,1081.65,390,0,0.4,1004510,9832095,25045.8,-0.011,2026-01-27 13:53:12,18021396
NIFTY,2026-01-27,24100.0,984.65,2145,4485,0.4,2767570,24926655,25045.8,-0.011,2026-01-27 13:53:12,16917742
NIFTY,2026-01-27,24150.0,1233.65,130,0,0.45,1581710,16400020,25045.8,-0.011,2026-01-27 13:53:12,15828036
NIFTY,2026-01-27,24200.0,889.65,2275,4095,0.5,5679830,49961600,25045.8,-0.011,2026-01-27 13:53:12,14746083
NIFTY,2026-01-27,24250.0,814.6,1690,2535,0.5,2714140,25176775,25045.8,-0.011,2026-01-27 13:53:12,13692514
NIFTY,2026-01-27,24300.0,748.45,5915,10400,0.6,6528405,61166690,25045.8,-0.011,2026-01-27 13:53:12,12652608
NIFTY,2026-01-27,24350.0,683.2,4420,2795,0.55,3225755,37855610,25045.8,-0.011,2026-01-27 13:53:12,11645423
NIFTY,2026-01-27,24400.0,658.35,8580,43355,0.6,6728410,77790440,25045.8,-0.011,2026-01-27 13:53:12,10654462
NIFTY,2026-01-27,24450.0,622.25,18005,42120,0.65,3425695,65109330,25045.8,-0.011,2026-01-27 13:53:12,9697222
NIFTY,2026-01-27,24500.0,563.8,292370,1161420,0.7,13503230,161393505,25045.8,-0.011,2026-01-27 13:53:12,8757938
NIFTY,2026-01-27,24550.0,511.0,20410,125125,0.75,3494335,92555645,25045.8,-0.011,2026-01-27 13:53:12,7902273
NIFTY,2026-01-27,24600.0,451.0,40430,446745,0.9,7567430,169240630,25045.8,-0.011,2026-01-27 13:53:12,7049423
NIFTY,2026-01-27,24650.0,401.8,29770,352170,1.1,4197180,173519385,25045.8,-0.011,2026-01-27 13:53:12,6234974
NIFTY,2026-01-27,24700.0,364.0,195390,3161990,1.35,9963785,291582070,25045.8,-0.011,2026-01-27 13:53:12,5441252
NIFTY,2026-01-27,24750.0,314.1,93210,1973270,1.85,6212440,291582720,25045.8,-0.011,2026-01-27 13:53:12,4703359
NIFTY,2026-01-27,24800.0,265.5,687050,17493515,2.75,15086240,529113910,25045.8,-0.011,2026-01-27 13:53:12,3993005
NIFTY,2026-01-27,24850.0,216.75,269490,11097710,4.45,10107760,463908640,25045.8,-0.011,2026-01-27 13:53:12,3373832
NIFTY,2026-01-27,24900.0,170.85,1232790,69622280,8.15,19608420,784692870,25045.8,-0.011,2026-01-27 13:53:12,2793796
NIFTY,2026-01-27,24950.0,127.1,1548885,100604400,14.75,14405235,659188400,25045.8,-0.011,2026-01-27 13:53:12,2321704
NIFTY,2026-01-27,25000.0,88.0,9628970,403924560,25.7,27573325,1130185420,25045.8,-0.011,2026-01-27 13:53:12,1922739
NIFTY,2026-01-27,25050.0,55.1,9532575,422435520,43.05,12269400,704295150,25045.8,-0.011,2026-01-27 13:53:12,1725220
NIFTY,2026-01-27,25100.0,31.45,21932820,901647630,69.6,13381875,846024140,25045.8,-0.011,2026-01-27 13:53:12,1622543
NIFTY,2026-01-27,25150.0,16.95,15301195,774009730,104.55,4316975,375810565,25045.8,-0.011,2026-01-27 13:53:12,1672576
NIFTY,2026-01-27,25200.0,9.15,25863500,974471680,146.6,5017415,266741475,25045.8,-0.011,2026-01-27 13:53:12,1825660
