Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,Stock_LTP,timestamp,Max_Pain
360ONE,2025-12-30,880.0,295.05,2500.0,0.0,0.0,1182.1,2025-12-26 12:30,28499
360ONE,2025-12-30,920.0,0.0,0.0,0.2,0.0,1182.1,2025-12-26 12:30,23659
360ONE,2025-12-30,960.0,171.7,1500.0,0.0,0.0,1182.1,2025-12-26 12:30,18745
360ONE,2025-12-30,980.0,179.2,2000.0,0.05,2000.0,1182.1,2025-12-26 12:30,16317
360ONE,2025-12-30,1000.0,173.2,3500.0,0.35,30000.0,1182.1,2025-12-26 12:30,13907
360ONE,2025-12-30,1020.0,152.25,0.0,0.45,57000.0,1182.1,2025-12-26 12:30,11587
360ONE,2025-12-30,1040.0,129.15,4500.0,0.35,94000.0,1182.1,2025-12-26 12:30,9320
360ONE,2025-12-30,1060.0,86.5,8500.0,0.35,51000.0,1182.1,2025-12-26 12:30,7306
360ONE,2025-12-30,1080.0,104.0,14000.0,0.4,62500.0,1182.1,2025-12-26 12:30,5429
360ONE,2025-12-30,1100.0,88.5,73000.0,0.4,65500.0,1182.1,2025-12-26 12:30,3776
360ONE,2025-12-30,1120.0,76.35,58500.0,0.55,62500.0,1182.1,2025-12-26 12:30,2901
360ONE,2025-12-30,1140.0,50.0,79500.0,0.7,159000.0,1182.1,2025-12-26 12:30,2067
360ONE,2025-12-30,1160.0,26.25,91000.0,1.4,344000.0,1182.1,2025-12-26 12:30,1653
360ONE,2025-12-30,1180.0,10.85,75000.0,6.85,212500.0,1182.1,2025-12-26 12:30,1914
360ONE,2025-12-30,1200.0,3.8,194500.0,19.3,63000.0,1182.1,2025-12-26 12:30,2495
360ONE,2025-12-30,1220.0,1.5,200500.0,38.0,18000.0,1182.1,2025-12-26 12:30,3607
360ONE,2025-12-30,1240.0,0.85,359000.0,28.6,6500.0,1182.1,2025-12-26 12:30,5166
360ONE,2025-12-30,1260.0,0.5,106000.0,73.1,1500.0,1182.1,2025-12-26 12:30,7506
360ONE,2025-12-30,1280.0,0.45,98000.0,92.15,2000.0,1182.1,2025-12-26 12:30,10043
360ONE,2025-12-30,1300.0,0.0,0.0,0.0,0.0,1182.1,2025-12-26 12:30,12772
360ONE,2025-12-30,1320.0,0.35,97000.0,0.0,0.0,1182.1,2025-12-26 12:30,15515
360ONE,2025-12-30,1360.0,1.0,500.0,0.0,0.0,1182.1,2025-12-26 12:30,21392
ABB,2025-12-30,4100.0,0.0,0.0,1.0,1875.0,5221.0,2025-12-26 12:30,60353
ABB,2025-12-30,4300.0,948.65,0.0,5.5,125.0,5221.0,2025-12-26 12:30,47673
ABB,2025-12-30,4350.0,0.0,0.0,1.0,1875.0,5221.0,2025-12-26 12:30,44504
ABB,2025-12-30,4400.0,780.0,1125.0,0.6,5750.0,5221.0,2025-12-26 12:30,41343
ABB,2025-12-30,4450.0,0.0,0.0,1.0,5750.0,5221.0,2025-12-26 12:30,38305
ABB,2025-12-30,4500.0,668.0,500.0,1.0,1625.0,5221.0,2025-12-26 12:30,35208
ABB,2025-12-30,4550.0,528.8,125.0,0.0,0.0,5221.0,2025-12-26 12:30,32155
ABB,2025-12-30,4600.0,685.75,0.0,0.55,250.0,5221.0,2025-12-26 12:30,29076
ABB,2025-12-30,4650.0,0.0,0.0,1.2,10625.0,5221.0,2025-12-26 12:30,25991
ABB,2025-12-30,4700.0,481.25,125.0,1.3,53250.0,5221.0,2025-12-26 12:30,22959
ABB,2025-12-30,4750.0,431.6,0.0,1.8,14375.0,5221.0,2025-12-26 12:30,20194
ABB,2025-12-30,4800.0,421.15,500.0,1.45,27000.0,5221.0,2025-12-26 12:30,17499
ABB,2025-12-30,4850.0,320.2,125.0,0.0,0.0,5221.0,2025-12-26 12:30,14961
ABB,2025-12-30,4900.0,325.5,6250.0,1.85,38875.0,5221.0,2025-12-26 12:30,12410
ABB,2025-12-30,4950.0,261.55,2250.0,2.5,26375.0,5221.0,2025-12-26 12:30,10278
ABB,2025-12-30,5000.0,227.05,42875.0,4.2,94000.0,5221.0,2025-12-26 12:30,8144
ABB,2025-12-30,5050.0,174.2,8750.0,5.25,29125.0,5221.0,2025-12-26 12:30,7577
ABB,2025-12-30,5100.0,134.45,45375.0,8.85,70625.0,5221.0,2025-12-26 12:30,6402
ABB,2025-12-30,5150.0,83.0,12500.0,14.1,30000.0,5221.0,2025-12-26 12:30,6218
ABB,2025-12-30,5200.0,47.55,67000.0,28.2,71125.0,5221.0,2025-12-26 12:30,5760
ABB,2025-12-30,5250.0,26.5,92875.0,53.15,18375.0,5221.0,2025-12-26 12:30,6049
ABB,2025-12-30,5300.0,11.0,108750.0,88.25,53125.0,5221.0,2025-12-26 12:30,6925
ABB,2025-12-30,5350.0,5.1,38250.0,125.95,5375.0,5221.0,2025-12-26 12:30,8113
ABB,2025-12-30,5400.0,3.2,80750.0,175.0,9250.0,5221.0,2025-12-26 12:30,9820
ABB,2025-12-30,5450.0,2.2,41375.0,0.0,0.0,5221.0,2025-12-26 12:30,11889
ABB,2025-12-30,5500.0,1.7,95875.0,272.85,21250.0,5221.0,2025-12-26 12:30,14310
ABB,2025-12-30,5550.0,1.55,21500.0,0.0,0.0,5221.0,2025-12-26 12:30,16744
ABB,2025-12-30,5600.0,1.25,22125.0,406.0,8750.0,5221.0,2025-12-26 12:30,19852
ABB,2025-12-30,5650.0,1.35,37125.0,0.0,0.0,5221.0,2025-12-26 12:30,22759
ABB,2025-12-30,5700.0,1.05,625.0,460.3,4250.0,5221.0,2025-12-26 12:30,26209
ABB,2025-12-30,5750.0,0.4,11125.0,455.0,1875.0,5221.0,2025-12-26 12:30,29483
ABB,2025-12-30,5800.0,1.1,2625.0,555.0,2375.0,5221.0,2025-12-26 12:30,32932
ABB,2025-12-30,5850.0,1.25,875.0,0.0,0.0,5221.0,2025-12-26 12:30,36360
ABB,2025-12-30,5900.0,0.2,15375.0,650.85,500.0,5221.0,2025-12-26 12:30,39924
ABB,2025-12-30,6000.0,0.1,36375.0,776.0,9500.0,5221.0,2025-12-26 12:30,47178
ABB,2025-12-30,6100.0,0.05,15125.0,857.5,18625.0,5221.0,2025-12-26 12:30,54186
ABCAPITAL,2025-12-30,260.0,85.5,282100.0,0.05,182900.0,348.6,2025-12-26 12:30,92978
ABCAPITAL,2025-12-30,270.0,79.0,24800.0,0.0,0.0,348.6,2025-12-26 12:30,81489
ABCAPITAL,2025-12-30,280.0,85.5,27900.0,0.05,124000.0,348.6,2025-12-26 12:30,67809
ABCAPITAL,2025-12-30,285.0,56.9,15500.0,0.1,86800.0,348.6,2025-12-26 12:30,61185
ABCAPITAL,2025-12-30,290.0,61.0,554900.0,0.05,471200.0,348.6,2025-12-26 12:30,54462
ABCAPITAL,2025-12-30,295.0,52.55,114700.0,0.05,120900.0,348.6,2025-12-26 12:30,51547
ABCAPITAL,2025-12-30,300.0,48.0,313100.0,0.05,393700.0,348.6,2025-12-26 12:30,45969
ABCAPITAL,2025-12-30,305.0,45.5,3100.0,0.1,80600.0,348.6,2025-12-26 12:30,41644
ABCAPITAL,2025-12-30,310.0,37.7,52700.0,0.1,486700.0,348.6,2025-12-26 12:30,35872
ABCAPITAL,2025-12-30,315.0,35.5,27900.0,0.15,827700.0,348.6,2025-12-26 12:30,30551
ABCAPITAL,2025-12-30,320.0,24.5,133300.0,0.2,1255500.0,348.6,2025-12-26 12:30,25551
ABCAPITAL,2025-12-30,325.0,23.15,99200.0,0.15,607600.0,348.6,2025-12-26 12:30,21459
ABCAPITAL,2025-12-30,330.0,18.15,201500.0,0.25,1112900.0,348.6,2025-12-26 12:30,17641
ABCAPITAL,2025-12-30,335.0,11.9,226300.0,0.45,1357800.0,348.6,2025-12-26 12:30,14597
ABCAPITAL,2025-12-30,340.0,10.05,545600.0,1.1,1996400.0,348.6,2025-12-26 12:30,12215
ABCAPITAL,2025-12-30,345.0,6.1,2114200.0,2.45,1395000.0,348.6,2025-12-26 12:30,11224
ABCAPITAL,2025-12-30,350.0,3.4,2393200.0,4.7,1469400.0,348.6,2025-12-26 12:30,12608
ABCAPITAL,2025-12-30,355.0,1.7,1931300.0,8.75,821500.0,348.6,2025-12-26 12:30,15098
ABCAPITAL,2025-12-30,360.0,0.9,2625700.0,16.6,492900.0,348.6,2025-12-26 12:30,18450
ABCAPITAL,2025-12-30,365.0,0.55,2080100.0,17.95,523900.0,348.6,2025-12-26 12:30,23171
ABCAPITAL,2025-12-30,370.0,0.3,2421100.0,26.5,297600.0,348.6,2025-12-26 12:30,28950
ABCAPITAL,2025-12-30,375.0,0.15,2666000.0,27.85,89900.0,348.6,2025-12-26 12:30,36198
ABCAPITAL,2025-12-30,380.0,0.15,1677100.0,32.7,102300.0,348.6,2025-12-26 12:30,45329
ABCAPITAL,2025-12-30,385.0,0.1,663400.0,0.0,0.0,348.6,2025-12-26 12:30,55251
ABCAPITAL,2025-12-30,390.0,0.1,1106700.0,32.05,58900.0,348.6,2025-12-26 12:30,65821
ABCAPITAL,2025-12-30,395.0,0.05,179800.0,0.0,0.0,348.6,2025-12-26 12:30,76789
ABCAPITAL,2025-12-30,400.0,0.05,1131500.0,43.8,9300.0,348.6,2025-12-26 12:30,88026
ADANIENT,2025-12-30,1840.0,0.0,0.0,0.25,1236.0,2235.7,2025-12-26 12:30,302279
ADANIENT,2025-12-30,1880.0,0.0,0.0,0.15,10506.0,2235.7,2025-12-26 12:30,273156
ADANIENT,2025-12-30,1900.2,335.5,8343.0,0.3,97644.0,2235.7,2025-12-26 12:30,258470
ADANIENT,2025-12-30,1920.0,0.0,0.0,0.4,8034.0,2235.7,2025-12-26 12:30,244562
ADANIENT,2025-12-30,1938.95,0.0,0.0,0.15,59946.0,2235.7,2025-12-26 12:30,231001
