Symbol,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Spot,%Change,timestamp,Max_Pain
ABB,2026-01-27,4850.0,15.95,31250.0,36750.0,79.95,5000.0,4250.0,4759.5,1.105,2026-01-22 10:48:58,16461
ABB,2026-01-27,4900.0,8.1,52500.0,67125.0,144.15,17875.0,21500.0,4759.5,1.105,2026-01-22 10:48:58,15272
ABB,2026-01-27,4950.0,4.85,19250.0,22250.0,159.25,9375.0,2125.0,4759.5,1.105,2026-01-22 10:48:58,14211
ABB,2026-01-27,5000.0,3.35,138500.0,116000.0,240.65,54875.0,18750.0,4759.5,1.105,2026-01-22 10:48:58,13368
ABB,2026-01-27,5050.0,2.45,63250.0,24875.0,254.4,8625.0,1125.0,4759.5,1.105,2026-01-22 10:48:58,12357
ABB,2026-01-27,5100.0,1.4,65875.0,96875.0,335.0,41000.0,500.0,4759.5,1.105,2026-01-22 10:48:58,12777
ABB,2026-01-27,5150.0,1.0,29125.0,17375.0,380.0,25125.0,2125.0,4759.5,1.105,2026-01-22 10:48:58,12570
ABB,2026-01-27,5200.0,0.85,117875.0,50375.0,432.05,90750.0,3500.0,4759.5,1.105,2026-01-22 10:48:58,13047
ABB,2026-01-27,5250.0,0.95,46875.0,18000.0,454.3,18000.0,375.0,4759.5,1.105,2026-01-22 10:48:58,11608
ABB,2026-01-27,5300.0,1.0,155500.0,35500.0,549.05,34500.0,125.0,4759.5,1.105,2026-01-22 10:48:58,13591
ABB,2026-01-27,5350.0,1.0,44625.0,4625.0,617.45,5000.0,0.0,4759.5,1.105,2026-01-22 10:48:58,15458
ABB,2026-01-27,5400.0,1.0,136000.0,18500.0,675.5,7625.0,0.0,4759.5,1.105,2026-01-22 10:48:58,19148
ABB,2026-01-27,5450.0,1.0,21250.0,125.0,0.0,0.0,0.0,4759.5,1.105,2026-01-22 10:48:58,23359
ABB,2026-01-27,5500.0,0.25,83750.0,12625.0,776.35,13250.0,0.0,4759.5,1.105,2026-01-22 10:48:58,28180
ABB,2026-01-27,5550.0,1.25,20375.0,0.0,506.4,375.0,0.0,4759.5,1.105,2026-01-22 10:48:58,32457
ABB,2026-01-27,5600.0,0.5,28375.0,1875.0,861.2,16875.0,0.0,4759.5,1.105,2026-01-22 10:48:58,37849
ABB,2026-01-27,5650.0,1.0,250.0,0.0,0.0,0.0,0.0,4759.5,1.105,2026-01-22 10:48:58,42030
ABB,2026-01-27,5700.0,1.6,42500.0,0.0,521.85,6875.0,0.0,4759.5,1.105,2026-01-22 10:48:58,47665
ABB,2026-01-27,5750.0,0.9,9375.0,250.0,412.0,1375.0,0.0,4759.5,1.105,2026-01-22 10:48:58,53195
ABB,2026-01-27,5800.0,1.2,34125.0,0.0,586.4,2750.0,0.0,4759.5,1.105,2026-01-22 10:48:58,59075
