Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,Stock_LTP,timestamp,Max_Pain
360ONE,2025-12-30,880.0,295.05,2500.0,0.0,0.0,1175.1,2025-12-26 14:08,28187
360ONE,2025-12-30,920.0,0.0,0.0,0.2,0.0,1175.1,2025-12-26 14:08,23424
360ONE,2025-12-30,960.0,171.7,1500.0,0.0,0.0,1175.1,2025-12-26 14:08,18588
360ONE,2025-12-30,980.0,179.2,2000.0,0.05,2000.0,1175.1,2025-12-26 14:08,16199
360ONE,2025-12-30,1000.0,173.2,3500.0,0.35,30000.0,1175.1,2025-12-26 14:08,13828
360ONE,2025-12-30,1020.0,152.25,0.0,0.45,57000.0,1175.1,2025-12-26 14:08,11548
360ONE,2025-12-30,1040.0,129.15,4500.0,0.3,93500.0,1175.1,2025-12-26 14:08,9319
360ONE,2025-12-30,1060.0,86.5,8500.0,0.3,52500.0,1175.1,2025-12-26 14:08,7344
360ONE,2025-12-30,1080.0,97.4,13000.0,0.4,62000.0,1175.1,2025-12-26 14:08,5508
360ONE,2025-12-30,1100.0,88.5,73000.0,0.5,69000.0,1175.1,2025-12-26 14:08,3874
360ONE,2025-12-30,1120.0,76.35,58500.0,0.55,65000.0,1175.1,2025-12-26 14:08,3043
360ONE,2025-12-30,1140.0,41.0,73500.0,1.0,144000.0,1175.1,2025-12-26 14:08,2259
360ONE,2025-12-30,1160.0,20.25,89500.0,2.6,337500.0,1175.1,2025-12-26 14:08,1754
360ONE,2025-12-30,1180.0,7.0,74000.0,9.65,209000.0,1175.1,2025-12-26 14:08,1910
360ONE,2025-12-30,1200.0,2.25,193500.0,25.0,62000.0,1175.1,2025-12-26 14:08,2388
360ONE,2025-12-30,1220.0,1.1,183000.0,40.5,18000.0,1175.1,2025-12-26 14:08,3415
360ONE,2025-12-30,1240.0,0.65,351000.0,28.6,6500.0,1175.1,2025-12-26 14:08,4903
360ONE,2025-12-30,1260.0,0.55,107500.0,73.1,1500.0,1175.1,2025-12-26 14:08,7164
360ONE,2025-12-30,1280.0,0.45,99000.0,92.15,2000.0,1175.1,2025-12-26 14:08,9633
360ONE,2025-12-30,1300.0,0.0,0.0,0.0,0.0,1175.1,2025-12-26 14:08,12295
360ONE,2025-12-30,1320.0,0.25,104500.0,0.0,0.0,1175.1,2025-12-26 14:08,14971
360ONE,2025-12-30,1360.0,1.0,500.0,0.0,0.0,1175.1,2025-12-26 14:08,20743
ABB,2025-12-30,4100.0,0.0,0.0,1.0,1875.0,5200.0,2025-12-26 14:08,58805
ABB,2025-12-30,4300.0,948.65,0.0,5.5,125.0,5200.0,2025-12-26 14:08,46548
ABB,2025-12-30,4350.0,0.0,0.0,1.0,1875.0,5200.0,2025-12-26 14:08,43484
ABB,2025-12-30,4400.0,780.0,1125.0,0.6,5750.0,5200.0,2025-12-26 14:08,40429
ABB,2025-12-30,4450.0,0.0,0.0,1.0,5750.0,5200.0,2025-12-26 14:08,37497
ABB,2025-12-30,4500.0,668.0,500.0,0.8,1500.0,5200.0,2025-12-26 14:08,34505
ABB,2025-12-30,4550.0,528.8,125.0,0.0,0.0,5200.0,2025-12-26 14:08,31557
