Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,Stock_LTP,timestamp,Max_Pain
ABB,2025-12-30,5700.0,1.05,625.0,474.0,7125.0,5232.0,2025-12-26 09:52,27145
ABB,2025-12-30,5750.0,0.35,11750.0,455.0,1875.0,5232.0,2025-12-26 09:52,30348
ABB,2025-12-30,5800.0,1.1,2625.0,555.0,2375.0,5232.0,2025-12-26 09:52,33871
ABB,2025-12-30,5850.0,1.25,875.0,0.0,0.0,5232.0,2025-12-26 09:52,37374
ABB,2025-12-30,5900.0,0.1,15375.0,650.85,500.0,5232.0,2025-12-26 09:52,41012
ABB,2025-12-30,6000.0,0.2,37250.0,760.0,10750.0,5232.0,2025-12-26 09:52,48415
ABB,2025-12-30,6100.0,0.05,15125.0,857.5,18625.0,5232.0,2025-12-26 09:52,55513
ABCAPITAL,2025-12-30,260.0,85.5,282100.0,0.05,182900.0,346.5,2025-12-26 09:52,96771
ABCAPITAL,2025-12-30,270.0,81.75,24800.0,0.0,0.0,346.5,2025-12-26 09:52,84881
ABCAPITAL,2025-12-30,280.0,85.5,27900.0,0.05,124000.0,346.5,2025-12-26 09:52,70809
ABCAPITAL,2025-12-30,285.0,56.9,15500.0,0.1,86800.0,346.5,2025-12-26 09:52,63985
ABCAPITAL,2025-12-30,290.0,61.0,554900.0,0.05,471200.0,346.5,2025-12-26 09:52,57061
ABCAPITAL,2025-12-30,295.0,52.55,114700.0,0.05,120900.0,346.5,2025-12-26 09:52,53946
ABCAPITAL,2025-12-30,300.0,49.1,313100.0,0.05,393700.0,346.5,2025-12-26 09:52,48169
ABCAPITAL,2025-12-30,305.0,45.5,3100.0,0.1,80600.0,346.5,2025-12-26 09:52,43678
ABCAPITAL,2025-12-30,310.0,37.7,52700.0,0.15,489800.0,346.5,2025-12-26 09:52,37706
ABCAPITAL,2025-12-30,315.0,35.5,27900.0,0.15,830800.0,346.5,2025-12-26 09:52,32184
ABCAPITAL,2025-12-30,320.0,28.15,136400.0,0.15,1249300.0,346.5,2025-12-26 09:52,26987
