Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,Stock_LTP,timestamp,Max_Pain
360ONE,2025-12-30,880.0,295.05,2500.0,0.0,0.0,1179.1,2025-12-26 13:28,28209
360ONE,2025-12-30,920.0,0.0,0.0,0.2,0.0,1179.1,2025-12-26 13:28,23433
360ONE,2025-12-30,960.0,171.7,1500.0,0.0,0.0,1179.1,2025-12-26 13:28,18583
360ONE,2025-12-30,980.0,179.2,2000.0,0.05,2000.0,1179.1,2025-12-26 13:28,16187
360ONE,2025-12-30,1000.0,173.2,3500.0,0.35,30000.0,1179.1,2025-12-26 13:28,13808
360ONE,2025-12-30,1020.0,152.25,0.0,0.45,57000.0,1179.1,2025-12-26 13:28,11521
360ONE,2025-12-30,1040.0,129.15,4500.0,0.35,93000.0,1179.1,2025-12-26 13:28,9285
360ONE,2025-12-30,1060.0,86.5,8500.0,0.4,51000.0,1179.1,2025-12-26 13:28,7302
360ONE,2025-12-30,1080.0,104.0,14000.0,0.4,62500.0,1179.1,2025-12-26 13:28,5455
360ONE,2025-12-30,1100.0,88.5,73000.0,0.4,65500.0,1179.1,2025-12-26 13:28,3832
360ONE,2025-12-30,1120.0,76.35,58500.0,0.6,64500.0,1179.1,2025-12-26 13:28,2986
360ONE,2025-12-30,1140.0,44.0,79500.0,0.85,149000.0,1179.1,2025-12-26 13:28,2186
360ONE,2025-12-30,1160.0,21.4,90000.0,1.9,340000.0,1179.1,2025-12-26 13:28,1737
360ONE,2025-12-30,1180.0,9.0,74500.0,7.5,211000.0,1179.1,2025-12-26 13:28,1939
360ONE,2025-12-30,1200.0,2.75,194500.0,20.45,61500.0,1179.1,2025-12-26 13:28,2493
360ONE,2025-12-30,1220.0,1.2,179500.0,40.5,18000.0,1179.1,2025-12-26 13:28,3578
360ONE,2025-12-30,1240.0,0.7,351500.0,28.6,6500.0,1179.1,2025-12-26 13:28,5078
360ONE,2025-12-30,1260.0,0.45,107500.0,73.1,1500.0,1179.1,2025-12-26 13:28,7352
360ONE,2025-12-30,1280.0,0.45,98000.0,92.15,2000.0,1179.1,2025-12-26 13:28,9832
360ONE,2025-12-30,1300.0,0.0,0.0,0.0,0.0,1179.1,2025-12-26 13:28,12504
360ONE,2025-12-30,1320.0,0.4,103000.0,0.0,0.0,1179.1,2025-12-26 13:28,15190
360ONE,2025-12-30,1360.0,1.0,500.0,0.0,0.0,1179.1,2025-12-26 13:28,20978
ABB,2025-12-30,4100.0,0.0,0.0,1.0,1875.0,5207.0,2025-12-26 13:28,60213
ABB,2025-12-30,4300.0,948.65,0.0,5.5,125.0,5207.0,2025-12-26 13:28,47600
ABB,2025-12-30,4350.0,0.0,0.0,1.0,1875.0,5207.0,2025-12-26 13:28,44448
ABB,2025-12-30,4400.0,780.0,1125.0,0.6,5750.0,5207.0,2025-12-26 13:28,41304
ABB,2025-12-30,4450.0,0.0,0.0,1.0,5750.0,5207.0,2025-12-26 13:28,38283
ABB,2025-12-30,4500.0,668.0,500.0,1.0,1625.0,5207.0,2025-12-26 13:28,35202
ABB,2025-12-30,4550.0,528.8,125.0,0.0,0.0,5207.0,2025-12-26 13:28,32166
ABB,2025-12-30,4600.0,685.75,0.0,0.55,250.0,5207.0,2025-12-26 13:28,29104
ABB,2025-12-30,4650.0,0.0,0.0,1.2,10625.0,5207.0,2025-12-26 13:28,26037
ABB,2025-12-30,4700.0,481.25,125.0,1.3,55625.0,5207.0,2025-12-26 13:28,23021
ABB,2025-12-30,4750.0,431.6,0.0,1.05,14375.0,5207.0,2025-12-26 13:28,20284
ABB,2025-12-30,4800.0,421.15,500.0,1.25,26625.0,5207.0,2025-12-26 13:28,17619
ABB,2025-12-30,4850.0,320.2,125.0,0.0,0.0,5207.0,2025-12-26 13:28,15108
ABB,2025-12-30,4900.0,318.65,6250.0,2.0,37125.0,5207.0,2025-12-26 13:28,12585
ABB,2025-12-30,4950.0,261.55,2250.0,2.45,24750.0,5207.0,2025-12-26 13:28,10466
ABB,2025-12-30,5000.0,215.9,42625.0,4.5,96000.0,5207.0,2025-12-26 13:28,8343
ABB,2025-12-30,5050.0,168.5,8375.0,5.65,29250.0,5207.0,2025-12-26 13:28,7738
ABB,2025-12-30,5100.0,121.9,41375.0,10.0,69500.0,5207.0,2025-12-26 13:28,6568
ABB,2025-12-30,5150.0,78.8,12875.0,17.0,30125.0,5207.0,2025-12-26 13:28,6263
ABB,2025-12-30,5200.0,43.8,64250.0,34.45,70125.0,5207.0,2025-12-26 13:28,5788
ABB,2025-12-30,5250.0,20.85,91125.0,58.4,18000.0,5207.0,2025-12-26 13:28,5975
ABB,2025-12-30,5300.0,8.75,111875.0,100.35,52750.0,5207.0,2025-12-26 13:28,6752
ABB,2025-12-30,5350.0,3.7,40125.0,139.3,5000.0,5207.0,2025-12-26 13:28,7836
ABB,2025-12-30,5400.0,2.55,79000.0,188.2,8875.0,5207.0,2025-12-26 13:28,9523
ABB,2025-12-30,5450.0,1.55,37125.0,0.0,0.0,5207.0,2025-12-26 13:28,11557
ABB,2025-12-30,5500.0,1.35,95000.0,286.55,20625.0,5207.0,2025-12-26 13:28,13929
ABB,2025-12-30,5550.0,1.25,21000.0,0.0,0.0,5207.0,2025-12-26 13:28,16295
ABB,2025-12-30,5600.0,1.15,22000.0,406.0,8750.0,5207.0,2025-12-26 13:28,19347
ABB,2025-12-30,5650.0,1.35,37125.0,0.0,0.0,5207.0,2025-12-26 13:28,22197
ABB,2025-12-30,5700.0,0.5,500.0,460.3,4250.0,5207.0,2025-12-26 13:28,25591
ABB,2025-12-30,5750.0,0.4,11125.0,455.0,1875.0,5207.0,2025-12-26 13:28,28808
ABB,2025-12-30,5800.0,1.1,2625.0,555.0,2375.0,5207.0,2025-12-26 13:28,32200
ABB,2025-12-30,5850.0,1.25,875.0,0.0,0.0,5207.0,2025-12-26 13:28,35571
ABB,2025-12-30,5900.0,0.05,15375.0,650.85,500.0,5207.0,2025-12-26 13:28,39078
ABB,2025-12-30,6000.0,0.1,36250.0,776.0,9500.0,5207.0,2025-12-26 13:28,46218
ABB,2025-12-30,6100.0,0.05,15125.0,857.5,18625.0,5207.0,2025-12-26 13:28,53112
ABCAPITAL,2025-12-30,260.0,89.6,282100.0,0.05,182900.0,349.4,2025-12-26 13:28,92357
ABCAPITAL,2025-12-30,270.0,79.0,24800.0,0.0,0.0,349.4,2025-12-26 13:28,81033
ABCAPITAL,2025-12-30,280.0,85.5,27900.0,0.05,124000.0,349.4,2025-12-26 13:28,67403
ABCAPITAL,2025-12-30,285.0,56.9,15500.0,0.1,86800.0,349.4,2025-12-26 13:28,60804
ABCAPITAL,2025-12-30,290.0,61.0,554900.0,0.05,471200.0,349.4,2025-12-26 13:28,54106
ABCAPITAL,2025-12-30,295.0,52.55,114700.0,0.05,120900.0,349.4,2025-12-26 13:28,51215
ABCAPITAL,2025-12-30,300.0,49.75,220100.0,0.1,418500.0,349.4,2025-12-26 13:28,45662
ABCAPITAL,2025-12-30,305.0,45.5,3100.0,0.05,80600.0,349.4,2025-12-26 13:28,40917
ABCAPITAL,2025-12-30,310.0,37.7,52700.0,0.1,486700.0,349.4,2025-12-26 13:28,35137
ABCAPITAL,2025-12-30,315.0,35.5,27900.0,0.15,827700.0,349.4,2025-12-26 13:28,29807
ABCAPITAL,2025-12-30,320.0,24.5,133300.0,0.15,1255500.0,349.4,2025-12-26 13:28,24797
ABCAPITAL,2025-12-30,325.0,23.15,99200.0,0.15,607600.0,349.4,2025-12-26 13:28,20703
ABCAPITAL,2025-12-30,330.0,19.0,195300.0,0.2,1116000.0,349.4,2025-12-26 13:28,16875
ABCAPITAL,2025-12-30,335.0,14.55,232500.0,0.35,1360900.0,349.4,2025-12-26 13:28,13831
ABCAPITAL,2025-12-30,340.0,10.55,492900.0,1.05,1959200.0,349.4,2025-12-26 13:28,11525
ABCAPITAL,2025-12-30,345.0,6.85,2049100.0,2.3,1373300.0,349.4,2025-12-26 13:28,10469
ABCAPITAL,2025-12-30,350.0,3.75,2356000.0,4.4,1540700.0,349.4,2025-12-26 13:28,11898
ABCAPITAL,2025-12-30,355.0,1.9,1953000.0,7.75,775000.0,349.4,2025-12-26 13:28,14393
ABCAPITAL,2025-12-30,360.0,1.05,2504800.0,11.4,446400.0,349.4,2025-12-26 13:28,17817
ABCAPITAL,2025-12-30,365.0,0.55,2095600.0,17.95,523900.0,349.4,2025-12-26 13:28,22700
ABCAPITAL,2025-12-30,370.0,0.3,2356000.0,26.5,297600.0,349.4,2025-12-26 13:28,28313
ABCAPITAL,2025-12-30,375.0,0.2,2600900.0,27.85,89900.0,349.4,2025-12-26 13:28,35361
ABCAPITAL,2025-12-30,380.0,0.15,1677100.0,32.7,102300.0,349.4,2025-12-26 13:28,44273
ABCAPITAL,2025-12-30,385.0,0.1,660300.0,0.0,0.0,349.4,2025-12-26 13:28,53965
ABCAPITAL,2025-12-30,390.0,0.1,1165600.0,32.05,58900.0,349.4,2025-12-26 13:28,64302
ABCAPITAL,2025-12-30,395.0,0.05,86800.0,0.0,0.0,349.4,2025-12-26 13:28,75068
ABCAPITAL,2025-12-30,400.0,0.05,1097400.0,43.8,9300.0,349.4,2025-12-26 13:28,86055
ADANIENT,2025-12-30,1840.0,0.0,0.0,0.25,1236.0,2232.5,2025-12-26 13:28,298082
ADANIENT,2025-12-30,1880.0,0.0,0.0,0.05,9888.0,2232.5,2025-12-26 13:28,269488
ADANIENT,2025-12-30,1900.2,335.5,8343.0,0.3,97335.0,2232.5,2025-12-26 13:28,255067
ADANIENT,2025-12-30,1920.0,0.0,0.0,0.3,7107.0,2232.5,2025-12-26 13:28,241418
ADANIENT,2025-12-30,1938.95,0.0,0.0,0.3,59946.0,2232.5,2025-12-26 13:28,228104
ADANIENT,2025-12-30,1940.0,0.0,0.0,0.2,7107.0,2232.5,2025-12-26 13:28,227371
ADANIENT,2025-12-30,1960.0,0.0,0.0,0.65,31518.0,2232.5,2025-12-26 13:28,213452
ADANIENT,2025-12-30,1977.75,0.0,0.0,0.3,60255.0,2232.5,2025-12-26 13:28,201154
ADANIENT,2025-12-30,1980.0,0.0,0.0,0.0,0.0,2232.5,2025-12-26 13:28,199607
ADANIENT,2025-12-30,2000.0,228.0,4635.0,0.35,285207.0,2232.5,2025-12-26 13:28,185873
ADANIENT,2025-12-30,2016.55,0.0,0.0,0.4,50058.0,2232.5,2025-12-26 13:28,175083
ADANIENT,2025-12-30,2020.0,0.0,0.0,0.55,41715.0,2232.5,2025-12-26 13:28,172829
ADANIENT,2025-12-30,2035.9,0.0,0.0,0.5,30900.0,2232.5,2025-12-26 13:28,162515
ADANIENT,2025-12-30,2040.0,0.0,0.0,0.55,42951.0,2232.5,2025-12-26 13:28,159867
ADANIENT,2025-12-30,2055.3,0.0,0.0,0.4,73233.0,2232.5,2025-12-26 13:28,150054
ADANIENT,2025-12-30,2060.0,0.0,0.0,0.7,28737.0,2232.5,2025-12-26 13:28,147072
ADANIENT,2025-12-30,2074.7,0.0,0.0,1.75,30282.0,2232.5,2025-12-26 13:28,137795
ADANIENT,2025-12-30,2080.0,170.0,1236.0,0.7,70143.0,2232.5,2025-12-26 13:28,134461
ADANIENT,2025-12-30,2094.1,154.95,0.0,0.8,32754.0,2232.5,2025-12-26 13:28,125724
ADANIENT,2025-12-30,2100.0,143.25,38316.0,0.9,391812.0,2232.5,2025-12-26 13:28,122078
ADANIENT,2025-12-30,2113.5,329.5,309.0,0.9,37080.0,2232.5,2025-12-26 13:28,114836
ADANIENT,2025-12-30,2120.0,110.2,618.0,1.0,220935.0,2232.5,2025-12-26 13:28,111132
