Stock,LTP,High,Low,timestamp
NAUKRI,1337.4,1368.0,1333.0,2026-01-09 05:19:05
NBCC,112.09,116.51,111.5,2026-01-09 05:19:05
NESTLEIND,1306.9,1315.1,1299.0,2026-01-09 05:19:05
NHPC,82.17,84.23,81.72,2026-01-09 05:19:05
NMDC,81.59,86.72,81.3,2026-01-09 05:19:05
NTPC,344.4,349.8,342.2,2026-01-09 05:19:05
NUVAMA,1449.0,1487.4,1440.0,2026-01-09 05:19:05
NYKAA,256.65,267.7,255.65,2026-01-09 05:19:05
OBEROIRLTY,1722.0,1746.9,1707.9,2026-01-09 05:19:05
OFSS,7594.0,7869.0,7570.0,2026-01-09 05:19:05
OIL,409.95,417.95,406.35,2026-01-09 05:19:05
ONGC,231.42,238.89,231.0,2026-01-09 05:19:05
PAGEIND,34765.0,35535.0,34585.0,2026-01-09 05:19:05
PATANJALI,563.95,578.8,560.6,2026-01-09 05:19:05
PAYTM,1301.8,1333.5,1293.3,2026-01-09 05:19:05
PERSISTENT,6444.5,6598.0,6412.0,2026-01-09 05:19:05
PETRONET,283.15,293.3,282.0,2026-01-09 05:19:05
PFC,365.45,379.5,363.1,2026-01-09 05:19:05
PGEL,608.4,626.35,605.35,2026-01-09 05:19:05
PHOENIXLTD,1903.2,1946.5,1889.0,2026-01-09 05:19:05
PIDILITIND,1500.8,1514.8,1490.0,2026-01-09 05:19:05
PIIND,3245.5,3332.7,3233.0,2026-01-09 05:19:05
PNB,122.81,125.83,122.36,2026-01-09 05:19:05
PNBHOUSING,979.55,1007.7,975.9,2026-01-09 05:19:05
POLICYBZR,1693.9,1723.9,1670.0,2026-01-09 05:19:05
POLYCAB,7750.5,7948.0,7723.0,2026-01-09 05:19:05
POWERGRID,259.3,265.3,257.95,2026-01-09 05:19:05
POWERINDIA,18444.0,19768.0,18255.0,2026-01-09 05:19:05
PPLPHARMA,172.71,181.48,172.0,2026-01-09 05:19:05
PREMIERENE,730.25,769.4,725.5,2026-01-09 05:19:05
PRESTIGE,1589.4,1640.8,1580.2,2026-01-09 05:19:05
RBLBANK,309.85,319.0,307.0,2026-01-09 05:19:05
RECLTD,371.4,387.45,369.25,2026-01-09 05:19:05
RELIANCE,1470.6,1503.9,1468.8,2026-01-09 05:19:05
RVNL,342.55,360.75,341.0,2026-01-09 05:19:05
SAIL,146.46,151.43,143.25,2026-01-09 05:19:05
SAMMAANCAP,146.33,149.9,145.45,2026-01-09 05:19:05
SBICARD,872.15,885.6,869.65,2026-01-09 05:19:05
SBILIFE,2082.9,2095.5,2067.7,2026-01-09 05:19:05
SBIN,998.0,1011.6,995.85,2026-01-09 05:19:05
