Stock,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Stock_LTP,Stock_High,Stock_Low,Stock_%_Change,timestamp,Max_Pain
360ONE,2026-01-27,960.0,0.0,0.0,0.0,0.65,2000.0,0.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,8565
360ONE,2026-01-27,1000.0,0.0,0.0,0.0,7.0,3000.0,0.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,6263
360ONE,2026-01-27,1020.0,0.0,0.0,0.0,3.6,500.0,500.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,5116
360ONE,2026-01-27,1040.0,0.0,0.0,0.0,1.95,2000.0,0.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,3972
360ONE,2026-01-27,1060.0,129.8,3000.0,0.0,10.8,500.0,0.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,2832
360ONE,2026-01-27,1080.0,130.0,2000.0,2000.0,5.05,37000.0,38000.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,1737
360ONE,2026-01-27,1100.0,112.0,1500.0,3000.0,7.0,49500.0,11000.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,689
360ONE,2026-01-27,1120.0,0.0,0.0,0.0,9.95,68000.0,18000.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,-281
360ONE,2026-01-27,1140.0,74.7,1500.0,0.0,13.7,44500.0,0.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,-1165
360ONE,2026-01-27,1160.0,64.0,14000.0,1000.0,19.5,108000.0,113500.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,-1940
360ONE,2026-01-27,1180.0,51.8,28000.0,5500.0,25.25,91000.0,66500.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,-2542
360ONE,2026-01-27,1200.0,39.2,260000.0,286500.0,35.6,165500.0,150000.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,-2870
360ONE,2026-01-27,1220.0,30.0,205000.0,362000.0,42.05,2500.0,2000.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,-1832
360ONE,2026-01-27,1240.0,23.4,106000.0,161000.0,54.25,1000.0,1500.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,-204
360ONE,2026-01-27,1260.0,17.85,100500.0,75000.0,66.9,1000.0,0.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,1274
360ONE,2026-01-27,1280.0,13.4,165000.0,95000.0,113.9,1000.0,0.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,2887
360ONE,2026-01-27,1300.0,10.0,144000.0,81500.0,126.0,500.0,0.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,4869
360ONE,2026-01-27,1320.0,7.2,28000.0,24000.0,0.0,0.0,0.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,7067
360ONE,2026-01-27,1360.0,4.9,56500.0,42000.0,0.0,0.0,0.0,1204.3,1209.9,1195.1,0.442,2026-01-06 12:25,11322
ABB,2026-01-27,4300.0,875.0,250.0,0.0,3.45,750.0,0.0,5234.0,5254.5,5160.5,1.267,2026-01-06 12:25,38087
