Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,timestamp,Stock_LTP,Max_Pain
360ONE,2025-12-30,880.0,295.05,2500.0,0.0,0.0,2025-12-24 14:32,1199.2,30129
360ONE,2025-12-30,920.0,0.0,0.0,2.05,1500.0,2025-12-24 14:32,1199.2,24935
360ONE,2025-12-30,960.0,171.7,1500.0,0.0,0.0,2025-12-24 14:32,1199.2,19673
360ONE,2025-12-30,980.0,179.2,2000.0,0.05,3000.0,2025-12-24 14:32,1199.2,17070
360ONE,2025-12-30,1000.0,173.2,3500.0,0.35,29000.0,2025-12-24 14:32,1199.2,14488
360ONE,2025-12-30,1020.0,152.25,0.0,0.45,57500.0,2025-12-24 14:32,1199.2,11995
360ONE,2025-12-30,1040.0,129.15,4500.0,0.55,85000.0,2025-12-24 14:32,1199.2,9554
360ONE,2025-12-30,1060.0,86.5,8500.0,0.5,76500.0,2025-12-24 14:32,1199.2,7349
360ONE,2025-12-30,1080.0,124.85,14500.0,0.65,64000.0,2025-12-24 14:32,1199.2,5329
360ONE,2025-12-30,1100.0,100.9,73000.0,0.5,79500.0,2025-12-24 14:32,1199.2,3574
360ONE,2025-12-30,1120.0,90.2,59500.0,0.65,61000.0,2025-12-24 14:32,1199.2,2680
360ONE,2025-12-30,1140.0,56.35,82000.0,0.9,191500.0,2025-12-24 14:32,1199.2,1827
360ONE,2025-12-30,1160.0,41.0,102500.0,1.5,277500.0,2025-12-24 14:32,1199.2,1432
360ONE,2025-12-30,1180.0,25.5,76500.0,3.2,264000.0,2025-12-24 14:32,1199.2,1732
360ONE,2025-12-30,1200.0,10.1,192000.0,10.25,96000.0,2025-12-24 14:32,1199.2,2445
360ONE,2025-12-30,1220.0,3.35,174000.0,23.15,24500.0,2025-12-24 14:32,1199.2,3718
360ONE,2025-12-30,1240.0,1.25,513500.0,28.6,7000.0,2025-12-24 14:32,1199.2,5295
360ONE,2025-12-30,1260.0,0.65,109000.0,128.15,1500.0,2025-12-24 14:32,1199.2,7955
360ONE,2025-12-30,1280.0,0.6,79000.0,137.0,500.0,2025-12-24 14:32,1199.2,10780
360ONE,2025-12-30,1320.0,0.5,94500.0,0.0,0.0,2025-12-24 14:32,1199.2,16770
360ONE,2025-12-30,1360.0,1.0,500.0,0.0,0.0,2025-12-24 14:32,1199.2,23144
ABB,2025-12-30,4100.0,0.0,0.0,1.0,1875.0,2025-12-24 14:32,5248.0,67004
ABB,2025-12-30,4300.0,948.65,0.0,5.5,125.0,2025-12-24 14:32,5248.0,53084
