Stock,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Stock_LTP,Stock_High,Stock_Low,Stock_%_Change,timestamp,Max_Pain
360ONE,2026-02-24,920.0,0.0,0.0,0.0,2.95,30500.0,25000.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,5778
360ONE,2026-02-24,940.0,0.0,0.0,0.0,0.0,0.0,0.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,4884
360ONE,2026-02-24,960.0,0.0,0.0,0.0,6.0,1500.0,0.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,3999
360ONE,2026-02-24,980.0,0.0,0.0,0.0,3.7,4000.0,1500.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,3116
360ONE,2026-02-24,1000.0,138.85,4500.0,0.0,4.6,78500.0,79500.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,2240
360ONE,2026-02-24,1020.0,151.0,4000.0,500.0,4.9,5500.0,500.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,1559
360ONE,2026-02-24,1040.0,66.7,1500.0,0.0,7.7,18500.0,12000.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,927
360ONE,2026-02-24,1060.0,118.0,9000.0,1000.0,9.7,30500.0,3500.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,274
360ONE,2026-02-24,1080.0,86.25,13000.0,3000.0,11.8,14000.0,5500.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,-218
360ONE,2026-02-24,1100.0,78.0,66500.0,9000.0,15.0,85500.0,97000.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,-639
360ONE,2026-02-24,1120.0,56.0,65500.0,13000.0,19.0,18500.0,9000.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,-460
360ONE,2026-02-24,1140.0,47.0,30500.0,25000.0,26.65,29500.0,8500.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,-173
360ONE,2026-02-24,1160.0,33.15,177500.0,247500.0,36.85,100000.0,106500.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,-32
360ONE,2026-02-24,1180.0,24.35,51500.0,93000.0,77.6,6500.0,0.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,818
360ONE,2026-02-24,1200.0,16.55,85000.0,71500.0,59.25,44000.0,1500.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,1640
360ONE,2026-02-24,1220.0,11.7,43000.0,56500.0,87.4,500.0,0.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,2525
360ONE,2026-02-24,1240.0,8.5,79500.0,109500.0,145.45,2000.0,0.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,3663
360ONE,2026-02-24,1260.0,5.85,3000.0,6000.0,0.0,0.0,0.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,4956
360ONE,2026-02-24,1280.0,2.5,24500.0,0.0,95.0,500.0,0.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,6219
360ONE,2026-02-24,1300.0,3.2,50000.0,19500.0,194.8,2500.0,0.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,7532
360ONE,2026-02-24,1320.0,8.0,1000.0,0.0,200.7,500.0,0.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,8915
360ONE,2026-02-24,1360.0,0.85,10500.0,0.0,0.0,0.0,0.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,11744
360ONE,2026-02-24,1380.0,2.75,3000.0,0.0,0.0,0.0,0.0,1155.0,1188.5,1150.0,4.007,2026-02-03 10:27:42,13185
ABB,2026-02-24,3900.0,0.0,0.0,0.0,2.05,2000.0,0.0,5710.5,5747.0,5608.0,4.435,2026-02-03 10:27:42,62672
ABB,2026-02-24,4000.0,1450.0,375.0,0.0,3.45,13500.0,625.0,5710.5,5747.0,5608.0,4.435,2026-02-03 10:27:42,54803
ABB,2026-02-24,4100.0,0.0,0.0,0.0,5.8,1375.0,0.0,5710.5,5747.0,5608.0,4.435,2026-02-03 10:27:42,47122
ABB,2026-02-24,4200.0,1212.45,125.0,0.0,3.95,6500.0,1250.0,5710.5,5747.0,5608.0,4.435,2026-02-03 10:27:42,39405
ABB,2026-02-24,4300.0,0.0,0.0,0.0,5.4,9625.0,0.0,5710.5,5747.0,5608.0,4.435,2026-02-03 10:27:42,31768
ABB,2026-02-24,4350.0,0.0,0.0,0.0,7.35,2000.0,0.0,5710.5,5747.0,5608.0,4.435,2026-02-03 10:27:42,27986
ABB,2026-02-24,4400.0,1135.0,625.0,0.0,4.95,16875.0,7250.0,5710.5,5747.0,5608.0,4.435,2026-02-03 10:27:42,24218
ABB,2026-02-24,4450.0,0.0,0.0,0.0,10.0,1875.0,0.0,5710.5,5747.0,5608.0,4.435,2026-02-03 10:27:42,20601
ABB,2026-02-24,4500.0,1139.5,1500.0,250.0,6.55,18500.0,4250.0,5710.5,5747.0,5608.0,4.435,2026-02-03 10:27:42,16929
ABB,2026-02-24,4550.0,0.0,0.0,0.0,10.15,1000.0,0.0,5710.5,5747.0,5608.0,4.435,2026-02-03 10:27:42,13518
ABB,2026-02-24,4600.0,808.65,2250.0,0.0,7.85,29500.0,3000.0,5710.5,5747.0,5608.0,4.435,2026-02-03 10:27:42,9952
