Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,timestamp
HDFCBANK,2025-12-30,960.0,38.0,136400.0,0.45,821150,2025-12-23 21:00
HDFCBANK,2025-12-30,965.0,30.0,39600.0,0.55,685300,2025-12-23 21:00
HDFCBANK,2025-12-30,970.0,28.0,151250.0,0.65,1016400,2025-12-23 21:00
HDFCBANK,2025-12-30,975.0,23.6,109450.0,0.85,565400,2025-12-23 21:00
HDFCBANK,2025-12-30,980.0,18.75,836550.0,1.25,2083400,2025-12-23 21:00
HDFCBANK,2025-12-30,985.0,14.8,701800.0,2.1,1004850,2025-12-23 21:00
HDFCBANK,2025-12-30,990.0,11.1,1724250.0,3.45,2804450,2025-12-23 21:00
HDFCBANK,2025-12-30,995.0,8.0,946000.0,5.35,1357400,2025-12-23 21:00
HDFCBANK,2025-12-30,1000.0,5.65,7108750.0,8.05,2576200,2025-12-23 21:00
HDFCBANK,2025-12-30,1005.0,3.85,1676400.0,11.05,771650,2025-12-23 21:00
HDFCBANK,2025-12-30,1010.0,2.65,3776850.0,14.9,1011450,2025-12-23 21:00
HDFCBANK,2025-12-30,1015.0,1.95,1272150.0,19.05,314600,2025-12-23 21:00
HDFCBANK,2025-12-30,1020.0,1.45,3941850.0,23.5,556600,2025-12-23 21:00
HDFCBANK,2025-12-30,1025.0,1.05,693550.0,28.25,114400,2025-12-23 21:00
HDFCBANK,2025-12-30,1030.0,0.8,1051600.0,32.7,145200,2025-12-23 21:00
HDFCBANK,2025-12-30,1035.0,0.65,482350.0,46.5,66550,2025-12-23 21:00
HDFCBANK,2025-12-30,1040.0,0.55,823350.0,43.0,118250,2025-12-23 21:00
HDFCBANK,2025-12-30,1045.0,0.45,209000.0,39.15,34650,2025-12-23 21:00
HDFCBANK,2025-12-30,1050.0,0.35,1290300.0,51.65,255750,2025-12-23 21:00
HDFCBANK,2025-12-30,1055.0,0.35,163350.0,0.0,0,2025-12-23 21:00
HDFCBANK,2025-12-30,1060.0,0.3,526900.0,53.95,43450,2025-12-23 21:00
HDFCBANK,2025-12-30,1065.0,0.2,114950.0,61.0,10450,2025-12-23 21:00
HDFCBANK,2025-12-30,1070.0,0.15,328900.0,69.45,18150,2025-12-23 21:00
HDFCBANK,2025-12-30,1080.0,0.2,952050.0,79.95,11000,2025-12-23 21:00
HDFCBANK,2025-12-30,1090.0,0.05,1865600.0,0.0,0,2025-12-23 21:00
HDFCBANK,2025-12-30,1100.0,0.1,1166000.0,100.95,166100,2025-12-23 21:00
HDFCBANK,2025-12-30,1110.0,0.1,143000.0,0.0,0,2025-12-23 21:00
HDFCBANK,2025-12-30,1120.0,0.05,253000.0,119.0,50600,2025-12-23 21:00
HDFCBANK,2025-12-30,1130.0,0.05,145200.0,120.3,25300,2025-12-23 21:00
ICICIBANK,2025-12-30,1100.0,,,0.1,22400,2025-12-23 21:00
ICICIBANK,2025-12-30,1120.0,,,0.1,7000,2025-12-23 21:00
ICICIBANK,2025-12-30,1140.0,216.5,4200.0,0.15,16100,2025-12-23 21:00
ICICIBANK,2025-12-30,1160.0,0.0,0.0,0.1,2800,2025-12-23 21:00
ICICIBANK,2025-12-30,1180.0,0.0,0.0,0.1,4900,2025-12-23 21:00
ICICIBANK,2025-12-30,1200.0,160.0,1400.0,0.15,114100,2025-12-23 21:00
ICICIBANK,2025-12-30,1210.0,,,0.25,17500,2025-12-23 21:00
ICICIBANK,2025-12-30,1220.0,0.0,0.0,0.15,85400,2025-12-23 21:00
ICICIBANK,2025-12-30,1230.0,0.0,0.0,0.15,11900,2025-12-23 21:00
ICICIBANK,2025-12-30,1240.0,122.25,3500.0,0.1,75600,2025-12-23 21:00
ICICIBANK,2025-12-30,1250.0,126.0,3500.0,0.05,570500,2025-12-23 21:00
ICICIBANK,2025-12-30,1260.0,108.0,20300.0,0.15,532700,2025-12-23 21:00
ICICIBANK,2025-12-30,1270.0,81.85,0.0,0.2,105700,2025-12-23 21:00
ICICIBANK,2025-12-30,1280.0,77.25,5600.0,0.25,1283100,2025-12-23 21:00
ICICIBANK,2025-12-30,1290.0,72.0,9100.0,0.3,161700,2025-12-23 21:00
ICICIBANK,2025-12-30,1300.0,64.65,311500.0,0.5,1185100,2025-12-23 21:00
ICICIBANK,2025-12-30,1310.0,51.15,15400.0,0.6,258300,2025-12-23 21:00
ICICIBANK,2025-12-30,1320.0,44.85,56700.0,0.85,962500,2025-12-23 21:00
ICICIBANK,2025-12-30,1330.0,34.85,141400.0,1.15,568400,2025-12-23 21:00
ICICIBANK,2025-12-30,1340.0,26.1,158900.0,1.85,648900,2025-12-23 21:00
ICICIBANK,2025-12-30,1350.0,17.1,795200.0,3.3,1689800,2025-12-23 21:00
ICICIBANK,2025-12-30,1360.0,10.2,2347100.0,6.3,1848700,2025-12-23 21:00
ICICIBANK,2025-12-30,1370.0,5.5,3261300.0,11.55,1502900,2025-12-23 21:00
ICICIBANK,2025-12-30,1380.0,2.7,4413500.0,18.75,1793400,2025-12-23 21:00
ICICIBANK,2025-12-30,1390.0,1.55,2393300.0,27.75,836500,2025-12-23 21:00
ICICIBANK,2025-12-30,1400.0,1.05,7709800.0,36.5,3026100,2025-12-23 21:00
ICICIBANK,2025-12-30,1410.0,0.65,1975400.0,45.95,463400,2025-12-23 21:00
ICICIBANK,2025-12-30,1420.0,0.55,1332100.0,55.95,485800,2025-12-23 21:00
ICICIBANK,2025-12-30,1430.0,0.45,1253700.0,68.95,149800,2025-12-23 21:00
ICICIBANK,2025-12-30,1440.0,0.45,502600.0,75.6,114100,2025-12-23 21:00
ICICIBANK,2025-12-30,1450.0,0.35,796600.0,87.2,270200,2025-12-23 21:00
ICICIBANK,2025-12-30,1460.0,0.4,343000.0,96.1,51800,2025-12-23 21:00
ICICIBANK,2025-12-30,1470.0,0.35,302400.0,106.0,50400,2025-12-23 21:00
ICICIBANK,2025-12-30,1480.0,0.3,968100.0,111.45,123200,2025-12-23 21:00
ICICIBANK,2025-12-30,1490.0,0.15,637700.0,118.85,3500,2025-12-23 21:00
ICICIBANK,2025-12-30,1500.0,0.1,1117900.0,136.0,139300,2025-12-23 21:00
ICICIBANK,2025-12-30,1510.0,0.05,202300.0,0.0,0,2025-12-23 21:00
ICICIBANK,2025-12-30,1520.0,0.05,149800.0,153.0,2100,2025-12-23 21:00
ICICIBANK,2025-12-30,1540.0,0.2,29400.0,179.0,700,2025-12-23 21:00
ICICIBANK,2025-12-30,1560.0,0.1,17500.0,199.0,700,2025-12-23 21:00
ICICIBANK,2025-12-30,1580.0,0.2,21700.0,0.0,0,2025-12-23 21:00
ICICIBANK,2025-12-30,1600.0,0.15,121800.0,201.5,18900,2025-12-23 21:00
ICICIBANK,2025-12-30,1620.0,0.0,0.0,0.0,0,2025-12-23 21:00
