Stock,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Stock_LTP,Stock_High,Stock_Low,Stock_%_Change,timestamp,Max_Pain
360ONE,2026-02-24,920.0,0.0,0.0,0.0,2.35,35500.0,31500.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,6048
360ONE,2026-02-24,940.0,0.0,0.0,0.0,2.65,0.0,5000.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,5106
360ONE,2026-02-24,960.0,0.0,0.0,0.0,3.1,1500.0,1500.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,4173
360ONE,2026-02-24,980.0,0.0,0.0,0.0,3.8,8500.0,6500.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,3243
360ONE,2026-02-24,1000.0,138.85,4500.0,0.0,4.55,89000.0,93500.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,2327
360ONE,2026-02-24,1020.0,151.0,4000.0,500.0,4.9,5500.0,500.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,1623
360ONE,2026-02-24,1040.0,66.7,1500.0,0.0,7.2,19500.0,12500.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,973
360ONE,2026-02-24,1060.0,118.0,9000.0,1000.0,9.3,31000.0,6000.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,304
360ONE,2026-02-24,1080.0,93.15,12000.0,3500.0,11.95,14500.0,8000.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,-202
360ONE,2026-02-24,1100.0,71.55,67000.0,9500.0,15.85,93000.0,107500.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,-640
360ONE,2026-02-24,1120.0,56.0,65500.0,13000.0,20.0,17500.0,9500.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,-520
360ONE,2026-02-24,1140.0,48.6,28500.0,29500.0,26.2,29500.0,9000.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,-234
360ONE,2026-02-24,1160.0,36.45,164000.0,268500.0,34.3,100500.0,107500.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,-103
360ONE,2026-02-24,1180.0,27.0,43500.0,98500.0,77.6,6500.0,0.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,748
360ONE,2026-02-24,1200.0,19.4,85000.0,74000.0,59.25,44000.0,1500.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,1514
360ONE,2026-02-24,1220.0,11.5,48000.0,57500.0,87.4,500.0,0.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,2375
360ONE,2026-02-24,1240.0,9.4,80000.0,112000.0,145.45,2000.0,0.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,3480
360ONE,2026-02-24,1260.0,6.5,4000.0,7500.0,0.0,0.0,0.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,4744
360ONE,2026-02-24,1280.0,2.5,24500.0,0.0,95.0,500.0,0.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,5973
360ONE,2026-02-24,1300.0,3.25,50500.0,20000.0,194.8,2500.0,0.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,7250
360ONE,2026-02-24,1320.0,8.0,1000.0,0.0,200.7,500.0,0.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,8600
360ONE,2026-02-24,1360.0,0.85,10500.0,0.0,0.0,0.0,0.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,11361
360ONE,2026-02-24,1380.0,2.75,3000.0,0.0,0.0,0.0,0.0,1159.5,1188.5,1150.0,4.412,2026-02-03 10:52:41,12768
ABB,2026-02-24,3900.0,0.0,0.0,0.0,2.05,2000.0,0.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,67099
ABB,2026-02-24,4000.0,1450.0,375.0,0.0,2.85,13500.0,750.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,59058
ABB,2026-02-24,4100.0,0.0,0.0,0.0,5.8,1375.0,0.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,51206
ABB,2026-02-24,4200.0,1212.45,125.0,0.0,4.05,6875.0,1875.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,43316
ABB,2026-02-24,4300.0,0.0,0.0,0.0,5.4,9625.0,0.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,35510
ABB,2026-02-24,4350.0,0.0,0.0,0.0,7.35,2000.0,0.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,31643
ABB,2026-02-24,4400.0,1135.0,625.0,0.0,4.95,16875.0,7250.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,27790
ABB,2026-02-24,4450.0,0.0,0.0,0.0,10.0,1875.0,0.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,24089
ABB,2026-02-24,4500.0,1139.5,1500.0,250.0,6.6,18125.0,4500.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,20333
ABB,2026-02-24,4550.0,0.0,0.0,0.0,10.15,1000.0,0.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,16836
ABB,2026-02-24,4600.0,808.65,2250.0,0.0,8.5,30375.0,4000.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,13183
ABB,2026-02-24,4650.0,829.85,375.0,0.0,11.75,3875.0,0.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,9851
ABB,2026-02-24,4700.0,999.0,16125.0,125.0,10.0,41000.0,5250.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,6411
ABB,2026-02-24,4750.0,796.9,4375.0,0.0,18.3,4875.0,0.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,4800
ABB,2026-02-24,4800.0,793.25,25375.0,0.0,15.0,45625.0,23375.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,2005
ABB,2026-02-24,4850.0,575.95,9000.0,0.0,14.1,20500.0,3375.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,1169
ABB,2026-02-24,4900.0,750.0,13500.0,125.0,16.9,38500.0,5500.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,-973
ABB,2026-02-24,4950.0,480.0,10875.0,0.0,40.0,4625.0,0.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,-2398
ABB,2026-02-24,5000.0,703.0,32125.0,625.0,22.6,105250.0,42250.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,-4190
ABB,2026-02-24,5050.0,496.5,20000.0,0.0,29.5,8375.0,875.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,-3777
ABB,2026-02-24,5100.0,618.0,43375.0,3125.0,30.0,30875.0,21375.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,-4275
ABB,2026-02-24,5150.0,311.0,2750.0,0.0,34.3,7375.0,4375.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,-2782
ABB,2026-02-24,5200.0,520.0,38125.0,3875.0,41.85,73000.0,33500.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,-3766
ABB,2026-02-24,5250.0,270.0,2000.0,0.0,49.25,10125.0,875.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,-2578
ABB,2026-02-24,5300.0,446.5,69125.0,1750.0,58.15,41250.0,44625.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,-3002
ABB,2026-02-24,5350.0,407.4,19250.0,500.0,60.8,8875.0,7000.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,-32
ABB,2026-02-24,5400.0,352.4,51750.0,16625.0,78.5,37125.0,51875.0,5694.5,5747.0,5608.0,4.142,2026-02-03 10:52:41,962
