Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,timestamp,Stock_LTP,Max_Pain
ABB,2025-12-30,5750.0,0.35,11750.0,455.0,1875.0,2025-12-25 01:55,5215.0,30306
ABB,2025-12-30,5800.0,1.1,2625.0,555.0,2750.0,2025-12-25 01:55,5215.0,33774
ABB,2025-12-30,5850.0,1.25,875.0,0.0,0.0,2025-12-25 01:55,5215.0,37203
ABB,2025-12-30,5900.0,0.1,15375.0,650.85,500.0,2025-12-25 01:55,5215.0,40788
ABB,2025-12-30,6000.0,0.15,37250.0,784.0,11375.0,2025-12-25 01:55,5215.0,48084
ABB,2025-12-30,6100.0,0.05,15125.0,857.5,29000.0,2025-12-25 01:55,5215.0,55008
ABCAPITAL,2025-12-30,260.0,85.5,282100.0,0.1,182900.0,2025-12-25 01:55,347.4,96708
ABCAPITAL,2025-12-30,270.0,81.75,24800.0,0.0,0.0,2025-12-25 01:55,347.4,84787
ABCAPITAL,2025-12-30,280.0,85.5,27900.0,0.1,120900.0,2025-12-25 01:55,347.4,70683
ABCAPITAL,2025-12-30,285.0,56.9,15500.0,0.1,52700.0,2025-12-25 01:55,347.4,63842
ABCAPITAL,2025-12-30,290.0,61.0,558000.0,0.1,471200.0,2025-12-25 01:55,347.4,56884
ABCAPITAL,2025-12-30,295.0,52.55,114700.0,0.05,120900.0,2025-12-25 01:55,347.4,53753
ABCAPITAL,2025-12-30,300.0,49.1,319300.0,0.1,399900.0,2025-12-25 01:55,347.4,47943
ABCAPITAL,2025-12-30,305.0,45.5,3100.0,0.1,83700.0,2025-12-25 01:55,347.4,43454
ABCAPITAL,2025-12-30,310.0,37.7,55800.0,0.15,492900.0,2025-12-25 01:55,347.4,37458
ABCAPITAL,2025-12-30,315.0,35.5,27900.0,0.2,833900.0,2025-12-25 01:55,347.4,31926
ABCAPITAL,2025-12-30,320.0,27.65,133300.0,0.15,1252400.0,2025-12-25 01:55,347.4,26704
ABCAPITAL,2025-12-30,325.0,23.15,102300.0,0.2,697500.0,2025-12-25 01:55,347.4,22443
ABCAPITAL,2025-12-30,330.0,17.9,232500.0,0.25,1196600.0,2025-12-25 01:55,347.4,18454
ABCAPITAL,2025-12-30,335.0,12.6,232500.0,0.5,1329900.0,2025-12-25 01:55,347.4,15344
ABCAPITAL,2025-12-30,340.0,8.8,660300.0,1.3,1953000.0,2025-12-25 01:55,347.4,12855
ABCAPITAL,2025-12-30,345.0,5.35,2145200.0,2.7,1466300.0,2025-12-25 01:55,347.4,11773
ABCAPITAL,2025-12-30,350.0,2.9,2343600.0,5.25,1596500.0,2025-12-25 01:55,347.4,12922
ABCAPITAL,2025-12-30,355.0,1.55,2191700.0,8.9,926900.0,2025-12-25 01:55,347.4,15130
ABCAPITAL,2025-12-30,360.0,0.9,2728000.0,13.65,548700.0,2025-12-25 01:55,347.4,18571
ABCAPITAL,2025-12-30,365.0,0.55,2142100.0,18.2,523900.0,2025-12-25 01:55,347.4,23632
ABCAPITAL,2025-12-30,370.0,0.35,2678400.0,23.2,291400.0,2025-12-25 01:55,347.4,29694
ABCAPITAL,2025-12-30,375.0,0.2,2712500.0,27.85,83700.0,2025-12-25 01:55,347.4,37494
ABCAPITAL,2025-12-30,380.0,0.15,1680200.0,32.7,102300.0,2025-12-25 01:55,347.4,47095
ABCAPITAL,2025-12-30,385.0,0.15,703700.0,0.0,0.0,2025-12-25 01:55,347.4,57458
ABCAPITAL,2025-12-30,390.0,0.1,1137700.0,32.05,58900.0,2025-12-25 01:55,347.4,68492
ABCAPITAL,2025-12-30,395.0,0.1,192200.0,0.0,0.0,2025-12-25 01:55,347.4,79936
