Stock,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Stock_LTP,Stock_High,Stock_Low,Stock_%_Change,timestamp,Max_Pain
360ONE,2026-02-24,920.0,0.0,0.0,0.0,2.5,6000.0,0.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,2691
360ONE,2026-02-24,960.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,1921
360ONE,2026-02-24,980.0,0.0,0.0,0.0,4.0,500.0,0.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,1537
360ONE,2026-02-24,1000.0,159.0,3000.0,500.0,4.7,27500.0,3000.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,1154
360ONE,2026-02-24,1020.0,141.0,1000.0,0.0,0.0,0.0,0.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,867
360ONE,2026-02-24,1040.0,0.0,0.0,0.0,10.0,24500.0,1000.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,561
360ONE,2026-02-24,1060.0,92.1,500.0,0.0,9.95,13000.0,2000.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,265
360ONE,2026-02-24,1080.0,86.55,5000.0,2500.0,15.7,13000.0,7500.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,13
360ONE,2026-02-24,1100.0,67.5,23000.0,10000.0,19.9,28500.0,15000.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,-171
360ONE,2026-02-24,1120.0,54.65,15000.0,5000.0,24.25,14500.0,7000.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,-178
360ONE,2026-02-24,1140.0,50.0,21500.0,22000.0,34.5,19000.0,17000.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,-177
360ONE,2026-02-24,1160.0,38.7,24500.0,53500.0,43.0,2500.0,5500.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,-100
360ONE,2026-02-24,1180.0,28.3,37500.0,30000.0,66.3,2500.0,0.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,72
360ONE,2026-02-24,1200.0,21.15,78000.0,40500.0,75.0,37000.0,0.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,331
360ONE,2026-02-24,1220.0,17.15,18500.0,7500.0,87.4,500.0,0.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,617
360ONE,2026-02-24,1240.0,11.15,21500.0,3500.0,144.0,5500.0,0.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,1082
360ONE,2026-02-24,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,1517
360ONE,2026-02-24,1280.0,6.4,29000.0,8500.0,95.0,500.0,0.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,2008
360ONE,2026-02-24,1300.0,5.2,45000.0,8000.0,194.8,2500.0,0.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,2572
360ONE,2026-02-24,1320.0,8.0,1000.0,0.0,200.7,500.0,0.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,3192
360ONE,2026-02-24,1360.0,2.0,11000.0,500.0,0.0,0.0,0.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,4479
360ONE,2026-02-24,1380.0,2.75,3000.0,0.0,0.0,0.0,0.0,1150.0,1157.9,1129.4,1.25,2026-01-30 12:43,5151
ABB,2026-02-24,3900.0,0.0,0.0,0.0,2.7,2375.0,500.0,5528.5,5605.5,5400.0,0.996,2026-01-30 12:43,78089
ABB,2026-02-24,4000.0,1060.0,125.0,0.0,3.25,14625.0,48000.0,5528.5,5605.5,5400.0,0.996,2026-01-30 12:43,68993
ABB,2026-02-24,4100.0,0.0,0.0,0.0,5.8,1375.0,0.0,5528.5,5605.5,5400.0,0.996,2026-01-30 12:43,60052
ABB,2026-02-24,4200.0,1099.8,250.0,0.0,5.0,8875.0,1375.0,5528.5,5605.5,5400.0,0.996,2026-01-30 12:43,51116
ABB,2026-02-24,4300.0,0.0,0.0,0.0,5.2,9750.0,125.0,5528.5,5605.5,5400.0,0.996,2026-01-30 12:43,42296
ABB,2026-02-24,4350.0,0.0,0.0,0.0,7.35,2000.0,0.0,5528.5,5605.5,5400.0,0.996,2026-01-30 12:43,37918
ABB,2026-02-24,4400.0,1135.0,875.0,250.0,9.0,17750.0,4875.0,5528.5,5605.5,5400.0,0.996,2026-01-30 12:43,33553
