Stock,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Stock_LTP,Stock_High,Stock_Low,Stock_%_Change,timestamp,Max_Pain
360ONE,2026-02-24,920.0,0.0,0.0,0.0,2.5,6000.0,0.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,2874
360ONE,2026-02-24,960.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,2093
360ONE,2026-02-24,980.0,0.0,0.0,0.0,4.0,500.0,0.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,1703
360ONE,2026-02-24,1000.0,148.1,4000.0,3000.0,5.45,27500.0,4000.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,1314
360ONE,2026-02-24,1020.0,130.0,1000.0,500.0,0.0,0.0,0.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,1032
360ONE,2026-02-24,1040.0,0.0,0.0,0.0,8.4,24500.0,2000.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,721
360ONE,2026-02-24,1060.0,92.1,500.0,0.0,11.4,13000.0,3000.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,425
360ONE,2026-02-24,1080.0,81.4,5000.0,4000.0,16.5,12500.0,10500.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,167
360ONE,2026-02-24,1100.0,66.9,24000.0,11000.0,22.8,29500.0,18000.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,-25
360ONE,2026-02-24,1120.0,52.5,14500.0,6000.0,30.15,14000.0,8500.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,-38
360ONE,2026-02-24,1140.0,38.85,20000.0,28000.0,39.25,20500.0,20000.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,-53
360ONE,2026-02-24,1160.0,30.0,23500.0,65500.0,47.45,4000.0,9000.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,-23
360ONE,2026-02-24,1180.0,28.3,37500.0,30000.0,66.3,2500.0,0.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,114
360ONE,2026-02-24,1200.0,16.0,73000.0,52500.0,75.0,37000.0,0.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,371
360ONE,2026-02-24,1220.0,14.0,17000.0,9500.0,87.4,500.0,0.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,597
360ONE,2026-02-24,1240.0,10.2,21500.0,4000.0,144.0,5500.0,0.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,1038
360ONE,2026-02-24,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,1457
360ONE,2026-02-24,1280.0,4.65,28000.0,10000.0,95.0,500.0,0.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,1933
360ONE,2026-02-24,1300.0,3.55,45000.0,8500.0,194.8,2500.0,0.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,2474
360ONE,2026-02-24,1320.0,8.0,1000.0,0.0,200.7,500.0,0.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,3070
360ONE,2026-02-24,1360.0,5.05,11000.0,1000.0,0.0,0.0,0.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,4322
360ONE,2026-02-24,1380.0,2.75,3000.0,0.0,0.0,0.0,0.0,1136.2,1157.9,1129.4,0.035,2026-01-30 13:21:51,4981
ABB,2026-02-24,3900.0,0.0,0.0,0.0,2.7,2375.0,500.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,77815
ABB,2026-02-24,4000.0,1060.0,125.0,0.0,3.25,14875.0,49625.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,68820
ABB,2026-02-24,4100.0,0.0,0.0,0.0,5.8,1375.0,0.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,59985
ABB,2026-02-24,4200.0,1099.8,250.0,0.0,5.75,8750.0,1500.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,51154
ABB,2026-02-24,4300.0,0.0,0.0,0.0,5.2,9750.0,125.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,42437
ABB,2026-02-24,4350.0,0.0,0.0,0.0,7.35,2000.0,0.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,38110
ABB,2026-02-24,4400.0,1135.0,875.0,250.0,9.0,17750.0,4875.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,33798
ABB,2026-02-24,4450.0,0.0,0.0,0.0,10.0,2375.0,625.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,29663
ABB,2026-02-24,4500.0,1068.5,1375.0,250.0,11.8,20750.0,6875.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,25454
ABB,2026-02-24,4550.0,0.0,0.0,0.0,12.0,1500.0,1000.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,21481
ABB,2026-02-24,4600.0,891.25,2375.0,0.0,14.85,33750.0,15625.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,17391
ABB,2026-02-24,4650.0,0.0,0.0,0.0,15.3,4250.0,2000.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,13645
ABB,2026-02-24,4700.0,835.6,17125.0,1375.0,19.55,54250.0,57125.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,9752
ABB,2026-02-24,4750.0,796.9,4250.0,1625.0,20.8,4250.0,1125.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,7548
ABB,2026-02-24,4800.0,743.9,26250.0,1875.0,25.2,63625.0,47500.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,4391
ABB,2026-02-24,4850.0,690.4,8500.0,0.0,30.0,18875.0,7250.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,3146
ABB,2026-02-24,4900.0,695.3,15250.0,2875.0,33.2,48000.0,40375.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,775
ABB,2026-02-24,4950.0,622.3,11000.0,0.0,39.3,9875.0,42125.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,-907
ABB,2026-02-24,5000.0,590.0,39000.0,3875.0,44.1,113250.0,180250.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,-2741
ABB,2026-02-24,5050.0,495.45,20625.0,125.0,54.4,9500.0,24625.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,-2658
ABB,2026-02-24,5100.0,519.4,46250.0,3375.0,63.0,43750.0,56000.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,-3256
ABB,2026-02-24,5150.0,450.0,3250.0,875.0,71.25,20625.0,33875.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,-2248
ABB,2026-02-24,5200.0,408.6,41000.0,5500.0,84.05,82625.0,113250.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,-3247
ABB,2026-02-24,5250.0,347.0,1000.0,250.0,99.6,10750.0,28125.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,-2647
ABB,2026-02-24,5300.0,354.0,68875.0,18750.0,113.8,47875.0,85000.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,-3041
ABB,2026-02-24,5350.0,313.0,19250.0,3875.0,134.4,10875.0,34375.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,-886
ABB,2026-02-24,5400.0,274.0,53500.0,57125.0,151.5,45375.0,118250.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,-17
ABB,2026-02-24,5450.0,247.95,19375.0,76500.0,167.8,10875.0,76625.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,1667
ABB,2026-02-24,5500.0,221.6,111000.0,725125.0,195.3,66250.0,257500.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,3023
ABB,2026-02-24,5550.0,197.15,53500.0,350750.0,216.55,37250.0,95000.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,6133
ABB,2026-02-24,5600.0,174.95,120000.0,786875.0,246.95,36000.0,60625.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,8780
ABB,2026-02-24,5650.0,149.0,7625.0,58000.0,0.0,0.0,0.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,13168
ABB,2026-02-24,5700.0,134.1,87125.0,578375.0,297.95,6500.0,2125.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,16498
ABB,2026-02-24,5750.0,120.0,11750.0,39625.0,319.45,875.0,625.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,21157
ABB,2026-02-24,5800.0,105.15,46875.0,204125.0,353.0,1625.0,500.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,25018
ABB,2026-02-24,5850.0,96.25,2875.0,8250.0,405.55,0.0,375.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,29443
ABB,2026-02-24,5900.0,80.0,40625.0,139375.0,0.0,0.0,0.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,33475
ABB,2026-02-24,5950.0,75.35,1500.0,2375.0,0.0,0.0,0.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,38008
ABB,2026-02-24,6000.0,62.55,246875.0,816625.0,560.0,22125.0,0.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,42234
ABB,2026-02-24,6050.0,57.2,6125.0,18125.0,0.0,0.0,0.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,48099
ABB,2026-02-24,6100.0,48.0,148875.0,375250.0,600.0,17250.0,250.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,53725
ABB,2026-02-24,6200.0,35.25,15875.0,62125.0,0.0,0.0,0.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,66247
ABB,2026-02-24,6300.0,28.5,45000.0,208125.0,0.0,0.0,0.0,5530.5,5605.5,5400.0,1.032,2026-01-30 13:21:51,79304
ABCAPITAL,2026-02-24,290.0,0.0,0.0,0.0,1.15,52700.0,102300.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,21493
ABCAPITAL,2026-02-24,300.0,45.75,796700.0,37200.0,2.35,731600.0,486700.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,14360
ABCAPITAL,2026-02-24,310.0,40.55,96100.0,0.0,3.9,1013700.0,217000.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,12234
ABCAPITAL,2026-02-24,315.0,0.0,0.0,0.0,4.0,148800.0,27900.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,9984
ABCAPITAL,2026-02-24,320.0,31.4,34100.0,0.0,6.2,598300.0,437100.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,7755
ABCAPITAL,2026-02-24,325.0,24.9,12400.0,21700.0,7.15,297600.0,145700.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,5637
ABCAPITAL,2026-02-24,330.0,21.05,136400.0,15500.0,9.5,703700.0,933100.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,3756
ABCAPITAL,2026-02-24,335.0,15.9,68200.0,37200.0,11.6,502200.0,527000.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,2096
ABCAPITAL,2026-02-24,340.0,13.45,440200.0,533200.0,14.0,744000.0,722300.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,629
ABCAPITAL,2026-02-24,345.0,11.0,434000.0,585900.0,16.4,421600.0,148800.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,-221
ABCAPITAL,2026-02-24,350.0,9.0,1354700.0,1224500.0,16.0,1075700.0,114700.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,-409
ABCAPITAL,2026-02-24,355.0,7.35,486700.0,325500.0,21.0,108500.0,52700.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,330
ABCAPITAL,2026-02-24,360.0,5.9,1230700.0,985800.0,23.45,337900.0,24800.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,1999
ABCAPITAL,2026-02-24,365.0,4.75,331700.0,709900.0,23.3,18600.0,0.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,4256
ABCAPITAL,2026-02-24,370.0,3.75,1094300.0,517700.0,28.0,322400.0,0.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,6869
ABCAPITAL,2026-02-24,375.0,2.9,217000.0,52700.0,0.0,0.0,0.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,9583
ABCAPITAL,2026-02-24,380.0,2.4,527000.0,186000.0,21.55,3100.0,0.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,12962
ABCAPITAL,2026-02-24,385.0,2.0,151900.0,111600.0,37.0,3100.0,0.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,16662
ABCAPITAL,2026-02-24,390.0,1.6,235600.0,158100.0,42.1,74400.0,0.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,20339
ABCAPITAL,2026-02-24,395.0,1.1,151900.0,74400.0,0.0,0.0,0.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,23876
ABCAPITAL,2026-02-24,400.0,0.95,759500.0,158100.0,0.0,0.0,0.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,27782
ABCAPITAL,2026-02-24,410.0,0.7,539400.0,74400.0,64.5,21700.0,0.0,337.25,343.75,336.75,-2.048,2026-01-30 13:21:51,36392
ADANIENSOL,2026-02-24,660.0,0.0,0.0,0.0,5.0,3375.0,0.0,884.2,916.0,883.2,-3.271,2026-01-30 13:21:51,31886
