Stock,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Stock_LTP,Stock_High,Stock_Low,Stock_%_Change,timestamp,Max_Pain
360ONE,2026-01-27,960.0,0.0,0.0,0.0,0.7,88000.0,57000.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,28250
360ONE,2026-01-27,1000.0,157.0,25500.0,0.0,0.9,83500.0,120000.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,20680
360ONE,2026-01-27,1020.0,0.0,0.0,0.0,1.15,44500.0,108500.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,17509
360ONE,2026-01-27,1040.0,0.0,0.0,0.0,1.35,46500.0,34000.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,14028
360ONE,2026-01-27,1060.0,97.25,3000.0,0.0,1.7,114000.0,127500.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,10640
360ONE,2026-01-27,1080.0,80.85,3000.0,0.0,2.05,75000.0,155500.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,7502
360ONE,2026-01-27,1100.0,107.5,92000.0,18500.0,3.0,132500.0,882500.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,4519
360ONE,2026-01-27,1120.0,83.0,22000.0,78500.0,4.35,139500.0,570500.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,2925
360ONE,2026-01-27,1140.0,66.1,44000.0,173500.0,7.3,262000.0,950500.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,827
360ONE,2026-01-27,1160.0,50.8,45500.0,350000.0,12.2,401500.0,1467000.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,-680
360ONE,2026-01-27,1180.0,37.65,84500.0,400000.0,19.05,187000.0,1350500.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,-1653
360ONE,2026-01-27,1200.0,26.6,468500.0,3835500.0,29.0,270500.0,2177500.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,-1862
360ONE,2026-01-27,1220.0,17.95,376500.0,3623000.0,41.3,55000.0,716000.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,-93
360ONE,2026-01-27,1240.0,11.95,520500.0,4501500.0,54.5,69500.0,313500.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,2524
360ONE,2026-01-27,1260.0,7.9,620000.0,3389000.0,60.9,5500.0,8500.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,6117
360ONE,2026-01-27,1280.0,5.45,271500.0,2104500.0,131.8,1000.0,0.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,11175
360ONE,2026-01-27,1300.0,4.0,345000.0,2471000.0,150.5,500.0,0.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,16456
360ONE,2026-01-27,1320.0,2.75,192500.0,745000.0,0.0,0.0,0.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,22423
360ONE,2026-01-27,1360.0,1.7,431500.0,1902500.0,208.65,3000.0,0.0,1192.2,1236.2,1187.0,3.742,2026-01-16 13:10,34920
ABB,2026-01-27,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,72574
ABB,2026-01-27,4200.0,743.6,125.0,0.0,0.0,0.0,0.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,64639
ABB,2026-01-27,4250.0,0.0,0.0,0.0,0.0,0.0,0.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,60681
ABB,2026-01-27,4300.0,644.6,125.0,0.0,4.7,23250.0,1625.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,56714
ABB,2026-01-27,4350.0,0.0,0.0,0.0,2.0,0.0,0.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,52861
ABB,2026-01-27,4400.0,546.9,625.0,0.0,3.3,250.0,0.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,49011
ABB,2026-01-27,4450.0,0.0,0.0,0.0,9.1,9250.0,7625.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,45200
ABB,2026-01-27,4500.0,451.9,375.0,0.0,11.4,34875.0,14750.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,41392
ABB,2026-01-27,4550.0,406.0,500.0,0.0,8.1,8500.0,125.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,37746
ABB,2026-01-27,4600.0,0.0,0.0,0.0,18.4,27000.0,6375.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,34181
ABB,2026-01-27,4650.0,0.0,0.0,0.0,24.85,16875.0,5125.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,30688
ABB,2026-01-27,4700.0,0.0,0.0,0.0,33.4,56750.0,32500.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,27288
ABB,2026-01-27,4750.0,240.95,1000.0,0.0,39.45,6750.0,2625.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,24023
ABB,2026-01-27,4800.0,151.5,1750.0,1625.0,57.85,68375.0,44750.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,20984
ABB,2026-01-27,4850.0,0.0,0.0,0.0,76.25,2625.0,6375.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,17930
ABB,2026-01-27,4900.0,94.85,16125.0,27750.0,99.55,45625.0,49875.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,15237
ABB,2026-01-27,4950.0,69.95,25750.0,53750.0,123.5,12000.0,14000.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,12572
ABB,2026-01-27,5000.0,52.45,98000.0,164875.0,156.1,98875.0,43625.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,10429
ABB,2026-01-27,5050.0,36.85,38125.0,27875.0,180.0,11750.0,5750.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,8209
ABB,2026-01-27,5100.0,28.0,108125.0,92000.0,235.0,62625.0,2750.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,7197
ABB,2026-01-27,5150.0,20.25,30875.0,16875.0,263.0,29375.0,2875.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,5940
ABB,2026-01-27,5200.0,15.35,179875.0,68875.0,319.55,107250.0,1375.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,5444
ABB,2026-01-27,5250.0,11.5,69125.0,29875.0,316.15,20250.0,0.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,3942
ABB,2026-01-27,5300.0,9.1,200625.0,60375.0,394.0,42750.0,875.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,5478
ABB,2026-01-27,5350.0,7.6,72500.0,26125.0,406.75,6500.0,375.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,7289
ABB,2026-01-27,5400.0,6.05,197375.0,50125.0,465.55,11000.0,0.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,10788
ABB,2026-01-27,5450.0,4.85,25875.0,11500.0,0.0,0.0,0.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,15145
ABB,2026-01-27,5500.0,3.7,141125.0,43875.0,598.05,15500.0,125.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,20037
ABB,2026-01-27,5550.0,6.0,27250.0,0.0,608.05,375.0,0.0,4894.0,4960.0,4884.5,-0.831,2026-01-16 13:10,24825
