Stock,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Stock_LTP,Stock_High,Stock_Low,Stock_%_Change,timestamp,Max_Pain
360ONE,2026-01-27,920.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,30167
360ONE,2026-01-27,960.0,239.15,1500.0,0.0,0.25,21500.0,7500.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,23345
360ONE,2026-01-27,980.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,20015
360ONE,2026-01-27,1000.0,105.35,25500.0,5500.0,0.25,46500.0,58000.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,16650
360ONE,2026-01-27,1020.0,0.0,0.0,0.0,0.2,44000.0,27500.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,13697
360ONE,2026-01-27,1040.0,0.0,0.0,0.0,0.35,40000.0,35500.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,10563
360ONE,2026-01-27,1060.0,129.8,3000.0,0.0,0.35,607000.0,464000.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,7508
360ONE,2026-01-27,1080.0,29.0,8500.0,13000.0,1.65,237000.0,316500.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,5693
360ONE,2026-01-27,1100.0,14.15,100000.0,146000.0,6.2,168000.0,281000.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,4337
360ONE,2026-01-27,1120.0,4.9,115500.0,681500.0,17.65,74000.0,36500.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,3568
360ONE,2026-01-27,1140.0,1.75,396000.0,735000.0,32.95,98000.0,33000.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,3067
360ONE,2026-01-27,1160.0,0.6,243000.0,637500.0,55.55,50000.0,14000.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,3374
360ONE,2026-01-27,1180.0,0.45,237000.0,428500.0,70.15,112000.0,17000.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,4258
360ONE,2026-01-27,1200.0,0.35,402500.0,404000.0,92.05,72500.0,8500.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,5328
360ONE,2026-01-27,1220.0,0.4,469000.0,548000.0,112.85,30500.0,0.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,7470
360ONE,2026-01-27,1240.0,0.25,220500.0,242500.0,134.0,68500.0,2000.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,10938
360ONE,2026-01-27,1260.0,0.25,155000.0,156500.0,121.1,23500.0,0.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,14398
360ONE,2026-01-27,1280.0,0.2,151500.0,91000.0,81.0,1000.0,0.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,18846
360ONE,2026-01-27,1300.0,0.15,166500.0,85500.0,191.0,6000.0,500.0,1104.9,1117.1,1097.1,0.876,2026-01-22 15:28,23875
