Stock,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Stock_LTP,Stock_High,Stock_Low,Stock_%_Change,timestamp,Max_Pain
360ONE,2026-02-24,920.0,0.0,0.0,0.0,2.15,60500.0,11000.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,8700
360ONE,2026-02-24,940.0,0.0,0.0,0.0,2.95,9500.0,5000.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,7475
360ONE,2026-02-24,960.0,0.0,0.0,0.0,3.65,17000.0,18000.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,6279
360ONE,2026-02-24,980.0,190.75,1500.0,0.0,4.4,11000.0,9500.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,5114
360ONE,2026-02-24,1000.0,168.2,4500.0,0.0,4.9,56000.0,78500.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,4004
360ONE,2026-02-24,1020.0,152.2,2500.0,0.0,6.2,8500.0,1500.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,3039
360ONE,2026-02-24,1040.0,66.7,1500.0,0.0,7.75,23000.0,12000.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,2081
360ONE,2026-02-24,1060.0,118.0,8000.0,0.0,9.65,94000.0,46500.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,1131
360ONE,2026-02-24,1080.0,93.15,12000.0,0.0,12.75,53500.0,25000.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,397
360ONE,2026-02-24,1100.0,62.2,63500.0,1500.0,15.8,112500.0,198500.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,-166
360ONE,2026-02-24,1120.0,52.95,23000.0,55000.0,21.0,7500.0,6500.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,-203
360ONE,2026-02-24,1140.0,44.2,26000.0,21000.0,27.35,32500.0,51500.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,-291
360ONE,2026-02-24,1160.0,32.9,133000.0,55000.0,37.25,93500.0,19500.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,-342
360ONE,2026-02-24,1180.0,24.3,35000.0,15000.0,49.65,34000.0,500.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,122
360ONE,2026-02-24,1200.0,17.55,104000.0,89000.0,50.85,46000.0,0.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,552
360ONE,2026-02-24,1220.0,12.6,95500.0,55500.0,75.8,2000.0,4000.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,1315
360ONE,2026-02-24,1240.0,8.95,42000.0,20500.0,145.45,2000.0,0.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,2429
360ONE,2026-02-24,1260.0,6.65,35500.0,21000.0,0.0,0.0,0.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,3535
360ONE,2026-02-24,1280.0,5.05,35500.0,21000.0,95.0,500.0,0.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,4726
360ONE,2026-02-24,1300.0,4.15,170000.0,89000.0,194.8,2500.0,0.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,5979
360ONE,2026-02-24,1320.0,3.1,7000.0,11500.0,200.7,500.0,0.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,7586
360ONE,2026-02-24,1340.0,0.0,0.0,0.0,217.5,0.0,0.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,9178
360ONE,2026-02-24,1360.0,2.25,85500.0,39000.0,0.0,0.0,0.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,10778
360ONE,2026-02-24,1380.0,2.3,41500.0,2500.0,0.0,0.0,0.0,1151.6,1170.3,1136.8,-1.37,2026-02-04 11:36,12569
ABB,2026-02-24,3900.0,0.0,0.0,0.0,3.8,10625.0,7000.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,83207
ABB,2026-02-24,4000.0,1450.0,375.0,0.0,3.8,22750.0,3500.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,73753
ABB,2026-02-24,4100.0,0.0,0.0,0.0,5.8,1375.0,0.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,64580
ABB,2026-02-24,4200.0,1212.45,125.0,0.0,6.0,10000.0,0.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,55375
ABB,2026-02-24,4300.0,0.0,0.0,0.0,9.0,9625.0,0.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,46280
ABB,2026-02-24,4350.0,0.0,0.0,0.0,7.35,2000.0,0.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,41768
ABB,2026-02-24,4400.0,1135.0,625.0,0.0,5.0,16250.0,875.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,37272
ABB,2026-02-24,4450.0,0.0,0.0,0.0,4.05,1875.0,0.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,32926
ABB,2026-02-24,4500.0,1139.5,1250.0,0.0,6.55,19250.0,5500.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,28525
ABB,2026-02-24,4550.0,0.0,0.0,0.0,10.15,1000.0,0.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,24357
ABB,2026-02-24,4600.0,808.65,2250.0,0.0,7.6,30125.0,875.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,20064
ABB,2026-02-24,4650.0,829.85,375.0,0.0,7.9,3875.0,250.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,16092
ABB,2026-02-24,4700.0,999.0,15875.0,0.0,10.0,32125.0,1250.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,12011
ABB,2026-02-24,4750.0,1030.0,4375.0,1000.0,18.3,4875.0,0.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,9695
ABB,2026-02-24,4800.0,1005.95,25250.0,375.0,12.0,43375.0,7750.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,6314
ABB,2026-02-24,4850.0,877.25,9000.0,250.0,10.85,24625.0,250.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,5322
ABB,2026-02-24,4900.0,908.5,13250.0,250.0,14.15,45625.0,18625.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,2773
ABB,2026-02-24,4950.0,794.0,10875.0,125.0,40.0,4625.0,0.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,895
ABB,2026-02-24,5000.0,790.9,30125.0,1375.0,17.3,146250.0,50625.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,-1199
ABB,2026-02-24,5050.0,652.45,19500.0,0.0,28.0,8125.0,0.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,-1128
ABB,2026-02-24,5100.0,680.0,38625.0,500.0,22.9,32000.0,11125.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,-1799
ABB,2026-02-24,5150.0,311.0,2750.0,0.0,26.85,10125.0,5750.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,-812
ABB,2026-02-24,5200.0,590.0,37250.0,2875.0,29.7,72250.0,32750.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,-2256
ABB,2026-02-24,5250.0,551.15,2000.0,125.0,34.0,9250.0,2750.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,-1228
ABB,2026-02-24,5300.0,512.0,68125.0,1375.0,41.1,38375.0,44250.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,-2048
ABB,2026-02-24,5350.0,369.2,18750.0,0.0,37.2,11625.0,875.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,915
ABB,2026-02-24,5400.0,421.35,51500.0,3375.0,57.4,41750.0,40625.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,1350
ABB,2026-02-24,5450.0,373.35,6875.0,375.0,66.1,16125.0,11625.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,3532
ABB,2026-02-24,5500.0,340.0,80250.0,20125.0,77.4,76125.0,91625.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,4049
ABB,2026-02-24,5550.0,351.6,21625.0,3500.0,91.55,23625.0,14125.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,7337
ABB,2026-02-24,5600.0,271.0,46250.0,65875.0,108.95,53125.0,117000.0,5779.0,5867.0,5582.5,1.949,2026-02-04 11:36,9256
