Stock,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Stock_LTP,Stock_High,Stock_Low,Stock_%_Change,timestamp,Max_Pain
360ONE,2026-01-27,960.0,0.0,0.0,0.0,0.65,2000.0,0.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,8450
360ONE,2026-01-27,1000.0,0.0,0.0,0.0,7.0,3000.0,0.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,6237
360ONE,2026-01-27,1020.0,0.0,0.0,0.0,3.6,500.0,500.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,5135
360ONE,2026-01-27,1040.0,0.0,0.0,0.0,1.95,2000.0,0.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,4036
360ONE,2026-01-27,1060.0,129.8,3000.0,0.0,10.8,500.0,0.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,2941
360ONE,2026-01-27,1080.0,130.0,2000.0,2000.0,5.4,20000.0,32000.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,1891
360ONE,2026-01-27,1100.0,112.0,1500.0,3000.0,7.0,49500.0,11000.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,862
360ONE,2026-01-27,1120.0,0.0,0.0,0.0,9.95,68000.0,18000.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,-97
360ONE,2026-01-27,1140.0,74.7,1500.0,0.0,13.7,44500.0,0.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,-970
360ONE,2026-01-27,1160.0,64.0,14000.0,1000.0,18.35,110000.0,108000.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,-1734
360ONE,2026-01-27,1180.0,51.8,28000.0,5000.0,25.05,85500.0,58000.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,-2312
360ONE,2026-01-27,1200.0,38.9,261000.0,248000.0,33.0,163500.0,125500.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,-2620
360ONE,2026-01-27,1220.0,29.6,169500.0,219500.0,42.05,2500.0,2000.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,-1535
360ONE,2026-01-27,1240.0,22.25,103000.0,147000.0,54.25,1000.0,1500.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,-89
360ONE,2026-01-27,1260.0,16.0,104500.0,59500.0,66.9,1000.0,0.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,1295
360ONE,2026-01-27,1280.0,11.6,157000.0,75500.0,113.9,1000.0,0.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,2829
360ONE,2026-01-27,1300.0,8.45,147000.0,64500.0,126.0,500.0,0.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,4689
360ONE,2026-01-27,1320.0,6.55,27500.0,23000.0,0.0,0.0,0.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,6791
360ONE,2026-01-27,1360.0,3.45,57000.0,29000.0,0.0,0.0,0.0,1207.9,1209.9,1195.1,0.742,2026-01-06 11:13,10887
ABB,2026-01-27,4300.0,875.0,250.0,0.0,3.45,750.0,0.0,5219.5,5254.5,5160.5,0.987,2026-01-06 11:13,38308
ABB,2026-01-27,4400.0,786.0,625.0,0.0,0.0,0.0,0.0,5219.5,5254.5,5160.5,0.987,2026-01-06 11:13,33686
ABB,2026-01-27,4500.0,0.0,0.0,0.0,7.1,4500.0,0.0,5219.5,5254.5,5160.5,0.987,2026-01-06 11:13,29098
