Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,Stock_LTP,Stock_%_Change,timestamp,Max_Pain
360ONE,2026-01-27,960.0,0.0,0.0,0.65,2000.0,1186.7,-0.277,2026-01-01 10:11,2438
360ONE,2026-01-27,1000.0,0.0,0.0,7.0,3000.0,1186.7,-0.277,2026-01-01 10:11,1732
360ONE,2026-01-27,1020.0,0.0,0.0,3.6,500.0,1186.7,-0.277,2026-01-01 10:11,1382
360ONE,2026-01-27,1040.0,0.0,0.0,1.95,2000.0,1186.7,-0.277,2026-01-01 10:11,1036
360ONE,2026-01-27,1060.0,129.8,3000.0,10.8,500.0,1186.7,-0.277,2026-01-01 10:11,694
360ONE,2026-01-27,1080.0,114.0,2500.0,6.8,14000.0,1186.7,-0.277,2026-01-01 10:11,397
360ONE,2026-01-27,1100.0,0.0,0.0,9.55,15000.0,1186.7,-0.277,2026-01-01 10:11,114
360ONE,2026-01-27,1120.0,0.0,0.0,19.4,500.0,1186.7,-0.277,2026-01-01 10:11,-171
360ONE,2026-01-27,1140.0,65.7,1500.0,20.5,18000.0,1186.7,-0.277,2026-01-01 10:11,-443
360ONE,2026-01-27,1160.0,53.25,15500.0,26.3,20500.0,1186.7,-0.277,2026-01-01 10:11,-702
360ONE,2026-01-27,1180.0,41.5,34000.0,34.9,39000.0,1186.7,-0.277,2026-01-01 10:11,-833
360ONE,2026-01-27,1200.0,30.8,187500.0,46.1,61000.0,1186.7,-0.277,2026-01-01 10:11,-842
360ONE,2026-01-27,1220.0,25.25,37000.0,0.0,0.0,1186.7,-0.277,2026-01-01 10:11,-63
360ONE,2026-01-27,1240.0,16.8,15000.0,72.05,1000.0,1186.7,-0.277,2026-01-01 10:11,586
360ONE,2026-01-27,1260.0,12.65,24000.0,0.0,0.0,1186.7,-0.277,2026-01-01 10:11,1193
360ONE,2026-01-27,1280.0,11.2,50000.0,113.9,1000.0,1186.7,-0.277,2026-01-01 10:11,1861
360ONE,2026-01-27,1300.0,8.65,22500.0,126.0,500.0,1186.7,-0.277,2026-01-01 10:11,2644
360ONE,2026-01-27,1320.0,9.15,1000.0,0.0,0.0,1186.7,-0.277,2026-01-01 10:11,3442
360ONE,2026-01-27,1360.0,4.0,32500.0,0.0,0.0,1186.7,-0.277,2026-01-01 10:11,5017
ABB,2026-01-27,4300.0,875.25,250.0,3.45,750.0,5166.5,-0.068,2026-01-01 10:11,34454
ABB,2026-01-27,4400.0,786.0,625.0,0.0,0.0,5166.5,-0.068,2026-01-01 10:11,30531
ABB,2026-01-27,4500.0,0.0,0.0,6.5,3125.0,5166.5,-0.068,2026-01-01 10:11,26641
ABB,2026-01-27,4550.0,663.35,500.0,0.0,0.0,5166.5,-0.068,2026-01-01 10:11,24686
ABB,2026-01-27,4600.0,0.0,0.0,8.0,125.0,5166.5,-0.068,2026-01-01 10:11,22767
ABB,2026-01-27,4650.0,0.0,0.0,6.8,2625.0,5166.5,-0.068,2026-01-01 10:11,20817
ABB,2026-01-27,4700.0,0.0,0.0,8.4,15125.0,5166.5,-0.068,2026-01-01 10:11,18877
ABB,2026-01-27,4750.0,0.0,0.0,0.0,0.0,5166.5,-0.068,2026-01-01 10:11,17003
ABB,2026-01-27,4800.0,0.0,0.0,13.95,22625.0,5166.5,-0.068,2026-01-01 10:11,15141
ABB,2026-01-27,4850.0,0.0,0.0,0.0,0.0,5166.5,-0.068,2026-01-01 10:11,13361
ABB,2026-01-27,4900.0,0.0,0.0,22.65,9500.0,5166.5,-0.068,2026-01-01 10:11,11612
ABB,2026-01-27,4950.0,0.0,0.0,0.0,0.0,5166.5,-0.068,2026-01-01 10:11,9889
ABB,2026-01-27,5000.0,244.7,11250.0,38.75,78125.0,5166.5,-0.068,2026-01-01 10:11,8188
ABB,2026-01-27,5050.0,0.0,0.0,0.0,0.0,5166.5,-0.068,2026-01-01 10:11,6906
ABB,2026-01-27,5100.0,160.0,20125.0,66.0,29250.0,5166.5,-0.068,2026-01-01 10:11,5652
ABB,2026-01-27,5150.0,130.95,12250.0,86.7,12500.0,5166.5,-0.068,2026-01-01 10:11,4773
ABB,2026-01-27,5200.0,103.45,105750.0,112.0,97500.0,5166.5,-0.068,2026-01-01 10:11,3941
ABB,2026-01-27,5250.0,81.95,22000.0,131.8,8500.0,5166.5,-0.068,2026-01-01 10:11,4076
ABB,2026-01-27,5300.0,60.75,60375.0,160.45,21250.0,5166.5,-0.068,2026-01-01 10:11,4429
ABB,2026-01-27,5350.0,0.0,0.0,0.0,0.0,5166.5,-0.068,2026-01-01 10:11,5148
ABB,2026-01-27,5400.0,35.1,46125.0,266.0,5500.0,5166.5,-0.068,2026-01-01 10:11,5841
ABB,2026-01-27,5450.0,0.0,0.0,0.0,0.0,5166.5,-0.068,2026-01-01 10:11,6808
ABB,2026-01-27,5500.0,20.3,22750.0,361.9,17000.0,5166.5,-0.068,2026-01-01 10:11,7759
ABB,2026-01-27,5550.0,0.0,0.0,330.0,125.0,5166.5,-0.068,2026-01-01 10:11,8340
ABB,2026-01-27,5600.0,12.45,13500.0,393.75,17125.0,5166.5,-0.068,2026-01-01 10:11,9487
ABB,2026-01-27,5650.0,0.0,0.0,0.0,0.0,5166.5,-0.068,2026-01-01 10:11,10133
ABB,2026-01-27,5700.0,6.8,42500.0,547.7,5625.0,5166.5,-0.068,2026-01-01 10:11,11437
ABB,2026-01-27,5800.0,7.0,375.0,602.0,2125.0,5166.5,-0.068,2026-01-01 10:11,14246
ABB,2026-01-27,5850.0,8.0,125.0,0.0,0.0,5166.5,-0.068,2026-01-01 10:11,15676
