time,stock,atm_diff
09:41,360ONE,-185.0
09:41,ABB,5403.25
09:41,ABCAPITAL,8786.95
09:41,ADANIENSOL,-9614.57
09:41,ADANIENT,7853.05
09:41,ADANIGREEN,622.92
09:41,ADANIPORTS,2658.1
09:41,ALKEM,884.38
09:41,AMBER,468.6
09:41,AMBUJACEM,-1660.68
09:41,ANGELONE,7343.5
09:41,APLAPOLLO,-18803.54
09:41,APOLLOHOSP,-4460.0
09:41,ASHOKLEY,21480.15
09:41,ASIANPAINT,32935.3
09:41,ASTRAL,-1569.44
09:41,AUBANK,2269.2
09:41,AUROPHARMA,-770.33
09:41,AXISBANK,-1890.0
09:41,BAJAJ-AUTO,10979.25
09:41,BAJAJFINSV,4562.2
09:41,BAJAJHLDNG,-636.0
09:41,BAJFINANCE,11784.3
09:41,BANDHANBNK,3028.32
09:41,BANKBARODA,-2662.77
09:41,BANKINDIA,4685.41
09:41,BDL,3066.56
09:41,BEL,6348.8
09:41,BHARATFORG,-781.0
09:41,BHARTIARTL,1094.4
09:41,BHEL,125.47
09:41,BIOCON,100.75
09:41,BLUESTARCO,-8462.09
09:41,BOSCHLTD,4809.62
09:41,BPCL,3128.99
09:41,BRITANNIA,-2894.62
09:41,BSE,52.12
09:41,CAMS,1137.75
09:41,CANBK,1788.48
09:41,CDSL,-1231.39
09:41,CGPOWER,-2224.79
09:41,CHOLAFIN,1711.5
09:41,CIPLA,-2517.68
09:41,COALINDIA,5320.08
09:41,COFORGE,-1037.1
09:41,COLPAL,1909.71
09:41,CONCOR,-460.75
09:41,CROMPTON,25.2
09:41,CUMMINSIND,1572.8
09:41,DABUR,3748.25
09:41,DALBHARAT,-135.85
09:41,DELHIVERY,4313.3
09:41,DIVISLAB,15389.6
09:41,DIXON,4708.3
09:41,DLF,-12312.13
09:41,DMART,-12.9
09:41,DRREDDY,1465.88
09:41,EICHERMOT,-3709.9
09:41,ETERNAL,-10626.35
09:41,EXIDEIND,96.3
09:41,FEDERALBNK,-4996.25
09:41,FORTIS,8190.82
09:41,GAIL,-3664.46
09:41,GLENMARK,-1348.8
09:41,GMRAIRPORT,521.17
09:41,GODREJCP,5819.8
09:41,GODREJPROP,-2166.34
09:41,GRASIM,4883.5
09:41,HAL,-17499.9
09:41,HAVELLS,-3589.7
09:41,HCLTECH,10756.76
09:41,HDFCAMC,5443.32
09:41,HDFCBANK,4083.91
09:41,HDFCLIFE,-4105.86
09:41,HEROMOTOCO,-17957.25
09:41,HINDALCO,16177.84
09:41,HINDPETRO,-4405.18
09:41,HINDUNILVR,21931.8
09:41,HINDZINC,150860.95
09:41,HUDCO,-1684.56
09:41,ICICIBANK,-9661.54
09:41,ICICIGI,917.67
09:41,ICICIPRULI,-160.77
09:41,IDEA,-8682.78
09:41,IDFCFIRSTB,7124.87
09:41,IEX,-837.86
09:41,IIFL,18131.85
09:41,INDHOTEL,799.3
09:41,INDIANB,-2881.0
09:41,INDIGO,59494.5
09:41,INDUSINDBK,-924.98
09:41,INDUSTOWER,2253.52
09:41,INFY,31546.24
09:41,INOXWIND,331.76
09:41,IOC,-3283.7
09:41,IRCTC,928.73
09:41,IREDA,-701.45
09:41,IRFC,-2217.56
09:41,ITC,1381.12
09:41,JINDALSTEL,-6014.5
09:41,JIOFIN,4351.02
09:41,JSWENERGY,-1157.2
09:41,JSWSTEEL,-1360.67
09:41,JUBLFOOD,-1239.12
09:41,KALYANKJIL,5531.31
09:41,KAYNES,2803.7
09:41,KEI,-5490.1
09:41,KFINTECH,-534.2
09:41,KOTAKBANK,6208.3
09:41,KPITTECH,720.12
09:41,LAURUSLABS,5868.57
09:41,LICHSGFIN,-3661.5
09:41,LICI,1194.34
09:41,LODHA,1227.42
09:41,LT,-1083.95
09:41,LTF,5459.18
09:41,LTIM,3799.95
09:41,LUPIN,495.04
09:41,M&M,7594.6
09:41,MANAPPURAM,790.2
09:41,MANKIND,-6.48
09:41,MARICO,-2005.32
09:41,MARUTI,27630.5
09:41,MAXHEALTH,4806.69
09:41,MAZDOCK,399.48
09:41,MCX,-1788.25
09:41,MFSL,-1001.28
09:41,MOTHERSON,-995.07
09:41,MPHASIS,6941.82
09:41,MUTHOOTFIN,-4923.88
09:41,NATIONALUM,6542.06
09:41,NAUKRI,624.3
