time,Σ_ATM,AVG_LTP_%_x1000
09:20,0.0,0.0
09:23,-279389.0,81.56
09:27,-395812.0,133.28
09:31,-550167.0,132.81
09:34,-536693.0,8.42
09:39,-651293.0,-43.21
09:42,-669886.0,-13.9
09:46,-676620.0,-155.29
09:51,-753112.0,-102.64
09:56,-909377.0,-113.76
10:01,-908124.0,-74.85
10:06,-946861.0,-178.65
10:09,-930678.0,-254.43
10:14,-944857.0,-311.91
10:19,-899358.0,-303.19
10:24,-1083936.0,-179.27
10:25,-1067026.0,-143.29
10:29,-1005308.0,-177.26
10:33,-867154.0,-313.16
10:34,-871822.0,-293.51
10:39,-1053051.0,-127.42
10:44,-1061262.0,-128.53
10:48,-1113267.0,-129.91
10:49,-1100394.0,-145.14
10:53,-1260857.0,-3.21
10:54,-1228685.0,0.79
10:59,-1283320.0,61.11
11:04,-1443439.0,89.61
11:09,-1643717.0,206.96
11:14,-1551602.0,211.38
11:17,-1593274.0,199.17
11:19,-1475773.0,132.84
11:24,-1480051.0,248.21
11:26,-1565298.0,268.54
11:29,-1726438.0,320.86
11:30,-1560157.0,285.35
11:31,-1531825.0,254.52
11:34,-1570573.0,290.04
11:39,-1359869.0,134.21
11:44,-1364844.0,72.94
11:49,-1386720.0,176.68
11:54,-1576908.0,213.21
12:00,-1848742.0,359.92
12:05,-2009060.0,436.58
12:11,-1945159.0,425.81
12:21,-2022495.0,451.97
12:31,-1900099.0,364.33
12:33,-1849947.0,368.23
12:46,-2088960.0,484.65
13:05,-2081981.0,505.29
13:07,-2119271.0,480.99
13:13,-2184314.0,507.78
13:22,-2307036.0,546.67
13:24,-2083914.0,438.92
13:25,-2010201.0,431.49
13:29,-2053704.0,408.19
13:54,-2180418.0,431.84
13:58,-2227312.0,457.98
14:05,-2428201.0,511.17
14:07,-2482073.0,483.4
14:26,-2698720.0,532.53
14:31,-2903117.0,644.6
14:33,-2909451.0,643.24
15:01,-3552656.0,1136.91
15:13,-3099690.0,1164.96
15:14,-2985623.0,1145.76
15:15,-3096812.0,1190.04
15:28,-3011899.0,1246.97
15:31,-2909159.0,1185.4
15:33,-2876734.0,1180.61
