time,stock,atm_diff,avg_ltp_pct_x1000
10:11,PERSISTENT,0.0,0.0
10:11,PETRONET,0.0,0.0
10:11,PFC,0.0,0.0
10:11,PGEL,0.0,0.0
10:11,PHOENIXLTD,0.0,0.0
10:11,PIDILITIND,0.0,0.0
10:11,PIIND,0.0,0.0
10:11,PNB,0.0,0.0
10:11,PNBHOUSING,0.0,0.0
10:11,POLICYBZR,0.0,0.0
10:11,POLYCAB,0.0,0.0
10:11,POWERGRID,0.0,0.0
10:11,POWERINDIA,0.0,0.0
10:11,PPLPHARMA,0.0,0.0
10:11,PREMIERENE,0.0,0.0
10:11,PRESTIGE,0.0,0.0
10:11,RBLBANK,0.0,0.0
10:11,RECLTD,0.0,0.0
10:11,RELIANCE,0.0,0.0
10:11,RVNL,0.0,0.0
10:11,SAIL,0.0,0.0
10:11,SAMMAANCAP,0.0,0.0
10:11,SBICARD,0.0,0.0
10:11,SBILIFE,0.0,0.0
10:11,SBIN,0.0,0.0
10:11,SHREECEM,0.0,0.0
10:11,SHRIRAMFIN,0.0,0.0
10:11,SIEMENS,0.0,0.0
10:11,SOLARINDS,0.0,0.0
10:11,SONACOMS,0.0,0.0
10:11,SRF,0.0,0.0
10:11,SUNPHARMA,0.0,0.0
10:11,SUPREMEIND,0.0,0.0
10:11,SUZLON,0.0,0.0
10:11,SWIGGY,0.0,0.0
10:11,SYNGENE,0.0,0.0
10:11,TATACONSUM,0.0,0.0
10:11,TATAELXSI,0.0,0.0
10:11,TATAPOWER,0.0,0.0
10:11,TATASTEEL,0.0,0.0
10:11,TATATECH,0.0,0.0
10:11,TCS,0.0,0.0
10:11,TECHM,0.0,0.0
10:11,TIINDIA,0.0,0.0
10:11,TITAN,0.0,0.0
10:11,TORNTPHARM,0.0,0.0
10:11,TORNTPOWER,0.0,0.0
10:11,TRENT,0.0,0.0
10:11,TVSMOTOR,0.0,0.0
10:11,ULTRACEMCO,0.0,0.0
10:11,UNIONBANK,0.0,0.0
10:11,UNITDSPR,0.0,0.0
10:11,UNOMINDA,0.0,0.0
10:11,UPL,0.0,0.0
10:11,VBL,0.0,0.0
10:11,VEDL,0.0,0.0
10:11,VOLTAS,0.0,0.0
10:11,WAAREEENER,0.0,0.0
10:11,WIPRO,0.0,0.0
10:11,YESBANK,0.0,0.0
10:11,ZYDUSLIFE,0.0,0.0
10:19,360ONE,57.0,172.78
10:19,ABB,662.0,172.78
10:19,ABCAPITAL,-2843.0,172.78
10:19,ADANIENSOL,713.0,172.78
10:19,ADANIENT,1178.0,172.78
10:19,ADANIGREEN,-4169.0,172.78
10:19,ADANIPORTS,2896.0,172.78
10:19,ALKEM,27.0,172.78
10:19,AMBER,-375.0,172.78
10:19,AMBUJACEM,580.0,172.78
10:19,ANGELONE,258.0,172.78
10:19,APLAPOLLO,27491.0,172.78
10:19,APOLLOHOSP,1137.0,172.78
10:19,ASHOKLEY,301.0,172.78
10:19,ASIANPAINT,1395.0,172.78
10:19,ASTRAL,-303.0,172.78
10:19,AUBANK,4763.0,172.78
10:19,AUROPHARMA,506.0,172.78
10:19,AXISBANK,78604.0,172.78
10:19,BAJAJ-AUTO,3785.0,172.78
10:19,BAJAJFINSV,-4316.0,172.78
10:19,BAJAJHLDNG,-50.0,172.78
10:19,BAJFINANCE,-2905.0,172.78
10:19,BANDHANBNK,-696.0,172.78
10:19,BANKBARODA,1996.0,172.78
10:19,BANKINDIA,-833.0,172.78
10:19,BDL,1849.0,172.78
10:19,BEL,14304.0,172.78
10:19,BHARATFORG,1096.0,172.78
10:19,BHARTIARTL,-2449.0,172.78
10:19,BHEL,-1662.0,172.78
10:19,BIOCON,726.0,172.78
10:19,BLUESTARCO,-1469.0,172.78
10:19,BOSCHLTD,5040.0,172.78
10:19,BPCL,2365.0,172.78
10:19,BRITANNIA,1034.0,172.78
10:19,BSE,48507.0,172.78
10:19,CAMS,284.0,172.78
10:19,CANBK,822.0,172.78
10:19,CDSL,457.0,172.78
10:19,CGPOWER,257.0,172.78
10:19,CHOLAFIN,-4259.0,172.78
10:19,CIPLA,67.0,172.78
10:19,COALINDIA,3605.0,172.78
10:19,COFORGE,3079.0,172.78
10:19,COLPAL,-300.0,172.78
10:19,CONCOR,196.0,172.78
10:19,CROMPTON,203.0,172.78
10:19,CUMMINSIND,-489.0,172.78
10:19,DABUR,554.0,172.78
10:19,DALBHARAT,2302.0,172.78
10:19,DELHIVERY,-11209.0,172.78
10:19,DIVISLAB,2663.0,172.78
10:19,DIXON,-2008.0,172.78
10:19,DLF,-376.0,172.78
10:19,DMART,-960.0,172.78
10:19,DRREDDY,-1861.0,172.78
10:19,EICHERMOT,-1024.0,172.78
10:19,ETERNAL,-2125.0,172.78
10:19,EXIDEIND,-444.0,172.78
10:19,FEDERALBNK,4172.0,172.78
10:19,FORTIS,403.0,172.78
10:19,GAIL,-278.0,172.78
10:19,GLENMARK,130.0,172.78
10:19,GMRAIRPORT,-640.0,172.78
10:19,GODREJCP,-1940.0,172.78
10:19,GODREJPROP,-234.0,172.78
10:19,GRASIM,-2121.0,172.78
10:19,HAL,-3888.0,172.78
10:19,HAVELLS,390.0,172.78
10:19,HCLTECH,3863.0,172.78
10:19,HDFCAMC,-715.0,172.78
10:19,HDFCBANK,157.0,172.78
10:19,HDFCLIFE,106.0,172.78
10:19,HEROMOTOCO,2988.0,172.78
10:19,HINDALCO,7345.0,172.78
10:19,HINDPETRO,-1725.0,172.78
10:19,HINDUNILVR,5334.0,172.78
10:19,HINDZINC,5106.0,172.78
10:19,HUDCO,-4035.0,172.78
10:19,ICICIBANK,-48.0,172.78
10:19,ICICIGI,182.0,172.78
10:19,ICICIPRULI,804.0,172.78
10:19,IDEA,-6477.0,172.78
10:19,IDFCFIRSTB,783.0,172.78
10:19,IEX,-931.0,172.78
10:19,IIFL,-2548.0,172.78
10:19,INDHOTEL,-630.0,172.78
10:19,INDIANB,-5892.0,172.78
10:19,INDIGO,848.0,172.78
10:19,INDUSINDBK,-3455.0,172.78
10:19,INDUSTOWER,-29.0,172.78
10:19,INFY,8800.0,172.78
10:19,INOXWIND,-195.0,172.78
10:19,IOC,874.0,172.78
10:19,IRCTC,-380.0,172.78
10:19,IREDA,297.0,172.78
10:19,IRFC,1798.0,172.78
10:19,ITC,-4424.0,172.78
10:19,JINDALSTEL,604.0,172.78
10:19,JIOFIN,-521.0,172.78
10:19,JSWENERGY,12112.0,172.78
10:19,JSWSTEEL,8249.0,172.78
10:19,JUBLFOOD,-262.0,172.78
10:19,KALYANKJIL,2799.0,172.78
10:19,KAYNES,-2703.0,172.78
10:19,KEI,2120.0,172.78
10:19,KFINTECH,833.0,172.78
10:19,KOTAKBANK,-3022.0,172.78
10:19,KPITTECH,-10.0,172.78
10:19,LAURUSLABS,-8902.0,172.78
10:19,LICHSGFIN,838.0,172.78
10:19,LICI,-473.0,172.78
10:19,LODHA,1388.0,172.78
10:19,LT,213.0,172.78
10:19,LTF,-4346.0,172.78
10:19,LTIM,222.0,172.78
10:19,LUPIN,149.0,172.78
10:19,M&M,1549.0,172.78
10:19,MANAPPURAM,-331.0,172.78
10:19,MANKIND,-446.0,172.78
10:19,MARICO,-1815.0,172.78
10:19,MARUTI,-9861.0,172.78
10:19,MAXHEALTH,191.0,172.78
10:19,MAZDOCK,1268.0,172.78
10:19,MCX,6677.0,172.78
10:19,MFSL,36.0,172.78
10:19,MOTHERSON,-527.0,172.78
10:19,MPHASIS,3178.0,172.78
10:19,MUTHOOTFIN,-2931.0,172.78
10:19,NATIONALUM,-1811.0,172.78
10:19,NAUKRI,453.0,172.78
10:19,NBCC,222.0,172.78
10:19,NESTLEIND,-240.0,172.78
10:19,NHPC,-185.0,172.78
10:19,NMDC,-1257.0,172.78
10:19,NTPC,6151.0,172.78
10:19,NUVAMA,-596.0,172.78
10:19,NYKAA,2273.0,172.78
10:19,OBEROIRLTY,644.0,172.78
10:19,OFSS,625.0,172.78
10:19,OIL,-991.0,172.78
10:19,ONGC,1995.0,172.78
10:19,PAGEIND,2049.0,172.78
10:19,PATANJALI,396.0,172.78
10:19,PAYTM,1781.0,172.78
10:19,PERSISTENT,83.0,172.78
10:19,PETRONET,156.0,172.78
10:19,PFC,-463.0,172.78
10:19,PGEL,-543.0,172.78
10:19,PHOENIXLTD,0.0,172.78
10:19,PIDILITIND,-805.0,172.78
10:19,PIIND,55.0,172.78
10:19,PNB,-6328.0,172.78
10:19,PNBHOUSING,219.0,172.78
10:19,POLICYBZR,-371.0,172.78
10:19,POLYCAB,-2936.0,172.78
10:19,POWERGRID,1024.0,172.78
10:19,POWERINDIA,863.0,172.78
10:19,PPLPHARMA,-984.0,172.78
10:19,PREMIERENE,1350.0,172.78
10:19,PRESTIGE,1512.0,172.78
10:19,RBLBANK,-2080.0,172.78
10:19,RECLTD,825.0,172.78
10:19,RELIANCE,-7850.0,172.78
10:19,RVNL,1843.0,172.78
10:19,SAIL,660.0,172.78
10:19,SAMMAANCAP,-787.0,172.78
10:19,SBICARD,-883.0,172.78
10:19,SBILIFE,78.0,172.78
10:19,SBIN,9898.0,172.78
10:19,SHREECEM,795.0,172.78
10:19,SHRIRAMFIN,-115.0,172.78
10:19,SIEMENS,258.0,172.78
10:19,SOLARINDS,-365.0,172.78
10:19,SONACOMS,129.0,172.78
10:19,SRF,106.0,172.78
10:19,SUNPHARMA,3470.0,172.78
10:19,SUPREMEIND,-45.0,172.78
10:19,SUZLON,105.0,172.78
10:19,SWIGGY,-765.0,172.78
10:19,SYNGENE,-629.0,172.78
10:19,TATACONSUM,4364.0,172.78
10:19,TATAELXSI,1205.0,172.78
10:19,TATAPOWER,-1300.0,172.78
10:19,TATASTEEL,991.0,172.78
10:19,TATATECH,108.0,172.78
10:19,TCS,-1527.0,172.78
10:19,TECHM,5073.0,172.78
10:19,TIINDIA,-387.0,172.78
10:19,TITAN,1853.0,172.78
10:19,TORNTPHARM,-161.0,172.78
10:19,TORNTPOWER,377.0,172.78
10:19,TRENT,-6005.0,172.78
10:19,TVSMOTOR,-2764.0,172.78
10:19,ULTRACEMCO,836.0,172.78
10:19,UNIONBANK,1961.0,172.78
10:19,UNITDSPR,-2403.0,172.78
10:19,UNOMINDA,465.0,172.78
10:19,UPL,-1528.0,172.78
10:19,VBL,6624.0,172.78
10:19,VEDL,13601.0,172.78
10:19,VOLTAS,-8647.0,172.78
10:19,WAAREEENER,4136.0,172.78
10:19,WIPRO,783.0,172.78
10:19,YESBANK,-1387.0,172.78
10:19,ZYDUSLIFE,3687.0,172.78
10:23,360ONE,170.0,104.74
10:23,ABB,-517.0,104.74
10:23,ABCAPITAL,-4214.0,104.74
10:23,ADANIENSOL,120.0,104.74
10:23,ADANIENT,-6350.0,104.74
10:23,ADANIGREEN,-5456.0,104.74
10:23,ADANIPORTS,9589.0,104.74
10:23,ALKEM,368.0,104.74
10:23,AMBER,-566.0,104.74
10:23,AMBUJACEM,-3076.0,104.74
10:23,ANGELONE,-641.0,104.74
10:23,APLAPOLLO,31414.0,104.74
10:23,APOLLOHOSP,998.0,104.74
10:23,ASHOKLEY,-552.0,104.74
10:23,ASIANPAINT,3803.0,104.74
10:23,ASTRAL,-190.0,104.74
10:23,AUBANK,-3831.0,104.74
10:23,AUROPHARMA,2238.0,104.74
10:23,AXISBANK,56235.0,104.74
10:23,BAJAJ-AUTO,5432.0,104.74
10:23,BAJAJFINSV,-4871.0,104.74
10:23,BAJAJHLDNG,-28.0,104.74
10:23,BAJFINANCE,-3348.0,104.74
10:23,BANDHANBNK,-799.0,104.74
10:23,BANKBARODA,3084.0,104.74
10:23,BANKINDIA,-817.0,104.74
10:23,BDL,3859.0,104.74
10:23,BEL,20183.0,104.74
10:23,BHARATFORG,731.0,104.74
10:23,BHARTIARTL,5244.0,104.74
10:23,BHEL,-3506.0,104.74
10:23,BIOCON,543.0,104.74
10:23,BLUESTARCO,-1719.0,104.74
10:23,BOSCHLTD,6407.0,104.74
10:23,BPCL,1944.0,104.74
10:23,BRITANNIA,1731.0,104.74
10:23,BSE,52488.0,104.74
10:23,CAMS,84.0,104.74
10:23,CANBK,1005.0,104.74
10:23,CDSL,-2115.0,104.74
10:23,CGPOWER,504.0,104.74
10:23,CHOLAFIN,-5021.0,104.74
10:23,CIPLA,-983.0,104.74
10:23,COALINDIA,5690.0,104.74
10:23,COFORGE,3983.0,104.74
10:23,COLPAL,-217.0,104.74
10:23,CONCOR,404.0,104.74
10:23,CROMPTON,-377.0,104.74
10:23,CUMMINSIND,-918.0,104.74
10:23,DABUR,131.0,104.74
10:23,DALBHARAT,2616.0,104.74
10:23,DELHIVERY,-2064.0,104.74
10:23,DIVISLAB,-4128.0,104.74
10:23,DIXON,-4615.0,104.74
10:23,DLF,-144.0,104.74
10:23,DMART,-1788.0,104.74
10:23,DRREDDY,2988.0,104.74
10:23,EICHERMOT,-764.0,104.74
10:23,ETERNAL,-4194.0,104.74
10:23,EXIDEIND,-815.0,104.74
10:23,FEDERALBNK,6492.0,104.74
10:23,FORTIS,149.0,104.74
10:23,GAIL,181.0,104.74
10:23,GLENMARK,-779.0,104.74
10:23,GMRAIRPORT,-1333.0,104.74
10:23,GODREJCP,-3762.0,104.74
10:23,GODREJPROP,-1603.0,104.74
10:23,GRASIM,2651.0,104.74
10:23,HAL,-5363.0,104.74
10:23,HAVELLS,575.0,104.74
10:23,HCLTECH,10452.0,104.74
10:23,HDFCAMC,-714.0,104.74
10:23,HDFCBANK,800.0,104.74
10:23,HDFCLIFE,-305.0,104.74
10:23,HEROMOTOCO,1153.0,104.74
10:23,HINDALCO,8214.0,104.74
10:23,HINDPETRO,-1993.0,104.74
10:23,HINDUNILVR,8861.0,104.74
10:23,HINDZINC,12291.0,104.74
10:23,HUDCO,-3878.0,104.74
10:23,ICICIBANK,-786.0,104.74
10:23,ICICIGI,248.0,104.74
10:23,ICICIPRULI,701.0,104.74
10:23,IDEA,-6729.0,104.74
10:23,IDFCFIRSTB,-356.0,104.74
10:23,IEX,-1034.0,104.74
10:23,IIFL,-2667.0,104.74
10:23,INDHOTEL,-877.0,104.74
10:23,INDIANB,-5369.0,104.74
10:23,INDIGO,-350.0,104.74
10:23,INDUSINDBK,-9882.0,104.74
10:23,INDUSTOWER,1.0,104.74
10:23,INFY,33506.0,104.74
10:23,INOXWIND,208.0,104.74
10:23,IOC,-67.0,104.74
10:23,IRCTC,-624.0,104.74
10:23,IREDA,-61.0,104.74
10:23,IRFC,1642.0,104.74
10:23,ITC,-6789.0,104.74
10:23,JINDALSTEL,1312.0,104.74
10:23,JIOFIN,-2072.0,104.74
10:23,JSWENERGY,9684.0,104.74
10:23,JSWSTEEL,14555.0,104.74
10:23,JUBLFOOD,-77.0,104.74
10:23,KALYANKJIL,3640.0,104.74
10:23,KAYNES,-2845.0,104.74
10:23,KEI,1943.0,104.74
10:23,KFINTECH,1444.0,104.74
10:23,KOTAKBANK,-4681.0,104.74
10:23,KPITTECH,-26.0,104.74
10:23,LAURUSLABS,-17016.0,104.74
10:23,LICHSGFIN,39.0,104.74
10:23,LICI,892.0,104.74
10:23,LODHA,1186.0,104.74
10:23,LT,1550.0,104.74
10:23,LTF,-3549.0,104.74
10:23,LTIM,2519.0,104.74
10:23,LUPIN,906.0,104.74
10:23,M&M,-8620.0,104.74
10:23,MANAPPURAM,-626.0,104.74
10:23,MANKIND,-915.0,104.74
10:23,MARICO,-3183.0,104.74
10:23,MARUTI,-11775.0,104.74
10:23,MAXHEALTH,1261.0,104.74
10:23,MAZDOCK,-741.0,104.74
10:23,MCX,15042.0,104.74
10:23,MFSL,-92.0,104.74
10:23,MOTHERSON,-3283.0,104.74
10:23,MPHASIS,5272.0,104.74
10:23,MUTHOOTFIN,-2738.0,104.74
10:23,NATIONALUM,-3149.0,104.74
10:23,NAUKRI,69.0,104.74
10:23,NBCC,-141.0,104.74
10:23,NESTLEIND,3212.0,104.74
10:23,NHPC,-164.0,104.74
10:23,NMDC,-1253.0,104.74
10:23,NTPC,5628.0,104.74
10:23,NUVAMA,-778.0,104.74
10:23,NYKAA,2894.0,104.74
10:23,OBEROIRLTY,622.0,104.74
10:23,OFSS,715.0,104.74
10:23,OIL,20.0,104.74
10:23,ONGC,5039.0,104.74
10:23,PAGEIND,1878.0,104.74
10:23,PATANJALI,-6.0,104.74
10:23,PAYTM,2258.0,104.74
10:23,PERSISTENT,-526.0,104.74
10:23,PETRONET,254.0,104.74
10:23,PFC,2666.0,104.74
10:23,PGEL,-1772.0,104.74
10:23,PHOENIXLTD,-120.0,104.74
10:23,PIDILITIND,-1480.0,104.74
10:23,PIIND,-136.0,104.74
10:23,PNB,-6376.0,104.74
10:23,PNBHOUSING,-116.0,104.74
10:23,POLICYBZR,-1058.0,104.74
10:23,POLYCAB,-1407.0,104.74
10:23,POWERGRID,642.0,104.74
10:23,POWERINDIA,743.0,104.74
10:23,PPLPHARMA,-1798.0,104.74
10:23,PREMIERENE,2889.0,104.74
10:23,PRESTIGE,1025.0,104.74
10:23,RBLBANK,-1412.0,104.74
10:23,RECLTD,1270.0,104.74
10:23,RELIANCE,-8432.0,104.74
10:23,RVNL,-2720.0,104.74
10:23,SAIL,861.0,104.74
10:23,SAMMAANCAP,1767.0,104.74
10:23,SBICARD,-1187.0,104.74
10:23,SBILIFE,230.0,104.74
10:23,SBIN,22969.0,104.74
10:23,SHREECEM,1209.0,104.74
10:23,SHRIRAMFIN,271.0,104.74
