time,stock,atm_diff
09:41,ETERNAL,
09:41,EXIDEIND,
09:41,FEDERALBNK,
09:41,FORTIS,
09:41,GAIL,
09:41,GLENMARK,
09:41,GMRAIRPORT,
09:41,GODREJCP,
09:41,GODREJPROP,
09:41,GRASIM,
09:41,HAL,
09:41,HAVELLS,
09:41,HCLTECH,
09:41,HDFCAMC,
09:41,HDFCBANK,
09:41,HDFCLIFE,
09:41,HEROMOTOCO,
09:41,HINDALCO,
09:41,HINDPETRO,
09:41,HINDUNILVR,
09:41,HINDZINC,
09:41,HUDCO,
09:41,ICICIBANK,
09:41,ICICIGI,
09:41,ICICIPRULI,
09:41,IDEA,
09:41,IDFCFIRSTB,
09:41,IEX,
09:41,IIFL,
09:41,INDHOTEL,
09:41,INDIANB,
09:41,INDIGO,
09:41,INDUSINDBK,
09:41,INDUSTOWER,
09:41,INFY,
09:41,INOXWIND,
09:41,IOC,
09:41,IRCTC,
09:41,IREDA,
09:41,IRFC,
09:41,ITC,
09:41,JINDALSTEL,
09:41,JIOFIN,
09:41,JSWENERGY,
09:41,JSWSTEEL,
09:41,JUBLFOOD,
09:41,KALYANKJIL,
09:41,KAYNES,
09:41,KEI,
09:41,KFINTECH,
09:41,KOTAKBANK,
09:41,KPITTECH,
09:41,LAURUSLABS,
09:41,LICHSGFIN,
09:41,LICI,
09:41,LODHA,
09:41,LT,
09:41,LTF,
09:41,LTIM,
09:41,LUPIN,
09:41,M&M,
09:41,MANAPPURAM,
09:41,MANKIND,
09:41,MARICO,
09:41,MARUTI,
09:41,MAXHEALTH,
09:41,MAZDOCK,
09:41,MCX,
09:41,MFSL,
09:41,MOTHERSON,
09:41,MPHASIS,
09:41,MUTHOOTFIN,
09:41,NATIONALUM,
09:41,NAUKRI,
09:41,NBCC,
09:41,NESTLEIND,
09:41,NHPC,
09:41,NMDC,
09:41,NTPC,
09:41,NUVAMA,
09:41,NYKAA,
09:41,OBEROIRLTY,
09:41,OFSS,
09:41,OIL,
09:41,ONGC,
09:41,PAGEIND,
09:41,PATANJALI,
09:41,PAYTM,
09:41,PERSISTENT,
09:41,PETRONET,
09:41,PFC,
09:41,PGEL,
09:41,PHOENIXLTD,
09:41,PIDILITIND,
09:41,PIIND,
09:41,PNB,
09:41,PNBHOUSING,
09:41,POLICYBZR,
09:41,POLYCAB,
09:41,POWERGRID,
09:41,POWERINDIA,
09:41,PPLPHARMA,
09:41,PREMIERENE,
09:41,PRESTIGE,
09:41,RBLBANK,
09:41,RECLTD,
09:41,RELIANCE,
09:41,RVNL,
09:41,SAIL,
09:41,SAMMAANCAP,
09:41,SBICARD,
09:41,SBILIFE,
09:41,SBIN,
09:41,SHREECEM,
09:41,SHRIRAMFIN,
09:41,SIEMENS,
09:41,SOLARINDS,
09:41,SONACOMS,
09:41,SRF,
09:41,SUNPHARMA,
09:41,SUPREMEIND,
09:41,SUZLON,
09:41,SWIGGY,
09:41,SYNGENE,
09:41,TATACONSUM,
09:41,TATAELXSI,
09:41,TATAPOWER,
09:41,TATASTEEL,
09:41,TATATECH,
09:41,TCS,
09:41,TECHM,
09:41,TIINDIA,
09:41,TITAN,
09:41,TORNTPHARM,
09:41,TORNTPOWER,
09:41,TRENT,
09:41,TVSMOTOR,
09:41,ULTRACEMCO,
09:41,UNIONBANK,
09:41,UNITDSPR,
09:41,UNOMINDA,
09:41,UPL,
09:41,VBL,
09:41,VEDL,
09:41,VOLTAS,
09:41,WAAREEENER,
09:41,WIPRO,
09:41,YESBANK,
09:41,ZYDUSLIFE,
10:04,360ONE,
10:04,ABB,
10:04,ABCAPITAL,
10:04,ADANIENSOL,
10:04,ADANIENT,
10:04,ADANIGREEN,
10:04,ADANIPORTS,
10:04,ALKEM,
10:04,AMBER,
10:04,AMBUJACEM,
10:04,ANGELONE,
10:04,APLAPOLLO,
10:04,APOLLOHOSP,
10:04,ASHOKLEY,
10:04,ASIANPAINT,
10:04,ASTRAL,
10:04,AUBANK,
10:04,AUROPHARMA,
10:04,AXISBANK,
10:04,BAJAJ-AUTO,
10:04,BAJAJFINSV,
10:04,BAJAJHLDNG,
10:04,BAJFINANCE,
10:04,BANDHANBNK,
