timestamp1,time,sigma_atm_diff
2026-01-23_09-34,09:34,7171.26
2026-01-23_09-41,09:41,11393.46
2026-01-23_10-04,10:04,12685.95
2026-01-23_10-23,10:23,12428.21
2026-01-23_10-24,10:24,12519.41
2026-01-23_10-33,10:33,14402.0
2026-01-23_10-49,10:49,15293.68
2026-01-23_10-54,10:54,13154.59
2026-01-23_11-08,11:08,10897.17
2026-01-23_11-17,11:17,9888.3
2026-01-23_11-21,11:21,8939.98
2026-01-23_11-24,11:24,7651.47
2026-01-23_11-28,11:28,8038.13
2026-01-23_11-48,11:48,8519.93
2026-01-23_11-50,11:50,7232.97
2026-01-23_11-55,11:55,4941.62
2026-01-23_12-04,12:04,3635.26
2026-01-23_12-25,12:25,548.08
2026-01-23_12-28,12:28,747.66
2026-01-23_12-31,12:31,-556.93
2026-01-23_12-50,12:50,-3117.8
2026-01-23_12-55,12:55,-1404.0
2026-01-23_12-58,12:58,-2380.58
2026-01-23_13-02,13:02,-1756.48
2026-01-23_13-13,13:13,-3354.25
2026-01-23_13-16,13:16,-3451.56
2026-01-23_13-18,13:18,-2704.56
2026-01-23_13-24,13:24,-3334.07
2026-01-23_13-25,13:25,-4955.85
2026-01-23_13-29,13:29,-7870.85
2026-01-23_13-46,13:46,-14212.88
2026-01-23_13-52,13:52,-17958.49
2026-01-23_14-12,14:12,-22575.41
2026-01-23_14-19,14:19,-22951.45
2026-01-23_14-20,14:20,-24612.29
2026-01-23_14-33,14:33,-22468.37
2026-01-23_14-46,14:46,-21183.19
2026-01-23_15-12,15:12,-19516.1
