time,Σ_ATM
09:23,0.0
09:34,717124.0
09:41,1139346.0
10:04,1268590.0
10:23,1242823.0
10:24,1251943.0
10:33,1440196.0
10:49,1529373.0
10:54,1315462.0
11:08,1089727.0
11:17,988837.0
11:21,894001.0
11:24,765148.0
11:28,803815.0
11:48,851989.0
11:50,723295.0
11:55,494157.0
12:04,363532.0
12:25,54813.0
12:28,74762.0
12:31,-55690.0
12:50,-311779.0
12:55,-140400.0
12:58,-238059.0
13:02,-175654.0
13:13,-335433.0
13:16,-345161.0
13:18,-270454.0
13:24,-333404.0
13:25,-495586.0
13:29,-787082.0
13:46,-1421290.0
13:52,-1795855.0
14:12,-2257544.0
14:19,-2295151.0
14:20,-2461238.0
14:33,-2246838.0
14:46,-2118320.0
15:12,-1951596.0
15:16,-1898133.0
15:28,-1938434.0
15:55,-1886304.0
15:58,-1886304.0
